f-index,f-index,f-index,f-index,f-index,f-index
Unnamed: 0_level_1,Negative Correlation,Negative Correlation,Negative Correlation,Negative Correlation,Negative Correlation
Unnamed: 0_level_2,t-stats,t-stats,Effect-size,Effect-size,Effect-size
Unnamed: 0_level_3,Vol (%),<t>,<ρ>,ρmin,ρmax
fw-DTI,,,,,
JHU Atlas,,,,,
Anterior thalamic radiation L,22.3,−2.970,−0.586,−0.437,−0.810
Anterior thalamic radiation R,5.76,−2.713,−0.552,−0.434,−0.821
Cortical spinal tract L,9.97,−2.807,−0.564,−0.437,−0.774
Cortical spinal tract R,6.68,−3.181,−0.610,−0.438,−0.783
Cingulum cingulate gyrus L,40.24,−3.369,−0.623,−0.439,−0.895
Cingulum cingulate gyrus R,25.9,−3.388,−0.631,−0.444,−0.846
Cingulum hippocampus L,27.12,−2.963,−0.587,−0.440,−0.742
Cingulum hippocampus R,17.57,−2.830,−0.570,−0.451,−0.707
Forceps major,17.34,−2.903,−0.579,−0.436,−0.791
Forceps minor,23.56,−2.844,−0.570,−0.438,−0.821
Inferior fronto-occipital fasciculus L,30.38,−2.869,−0.572,−0.437,−0.848
Inferior fronto-occipital fasciculus R,31.63,−2.944,−0.582,−0.434,−0.846
Inferior longitudinal fasciculus L,24.93,−2.744,−0.557,−0.436,−0.841
Inferior longitudinal fasciculus R,37.11,−2.956,−0.585,−0.439,−0.848
Superior longitudinal fasciculus L,19.28,−2.886,−0.575,−0.436,−0.806
Superior longitudinal fasciculus R,13.01,−2.929,−0.580,−0.439,−0.827
Uncinate fasciculus L,34.59,−2.997,−0.588,−0.438,−0.848
Uncinate fasciculus R,33.74,−3.206,−0.608,−0.434,−0.846
Superior longitudinal fasciculus temporal L,29.31,−2.855,−0.571,−0.436,−0.806
Superior longitudinal fasciculus temporal R,23.62,−2.910,−0.579,−0.439,−0.821
ICBM81 Atlas,,,,,
Genu of corpus callosum,38.07,−2.822,−0.567,−0.438,−0.776
Body of corpus callosum,37.33,−3.191,−0.608,−0.435,−0.852
Splenium of corpus callosum,25.85,−2.777,−0.562,−0.441,−0.828
Corticospinal tract R,0.66,−3.027,−0.600,−0.570,−0.629
Corticospinal tract L,2.92,−2.392,−0.509,−0.452,−0.599
Superior cerebellar peduncle L,5.44,−2.219,−0.484,−0.445,−0.558
Cerebral peduncle R,18.7,−3.626,−0.662,−0.555,−0.783
Cerebral peduncle L,28.58,−3.090,−0.599,−0.448,−0.774
Anterior limb of internal capsule L,11.17,−2.342,−0.502,−0.441,−0.653
Posterior limb of internal capsule L,11.57,−2.475,−0.522,−0.439,−0.688
Retrolenticular part of internal capsule R,9.18,−2.578,−0.536,−0.444,−0.673
Retrolenticular part of internal capsule L,18.71,−2.524,−0.529,−0.437,−0.682
Anterior corona radiata R,20.59,−2.737,−0.558,−0.434,−0.770
Anterior corona radiata L,36.16,−2.891,−0.573,−0.440,−0.848
Superior corona radiata R,11.55,−2.597,−0.537,−0.435,−0.738
Superior corona radiata L,5.98,−3.367,−0.623,−0.438,−0.780
Posterior corona radiata R,2.95,−2.891,−0.579,−0.454,−0.677
Posterior corona radiata L,6.49,−3.271,−0.602,−0.438,−0.819
Posterior thalamic radiation R,56.42,−2.952,−0.587,−0.446,−0.760
Posterior thalamic radiation L,40.57,−2.692,−0.552,−0.437,−0.695
Sagittal stratum R,41.29,−2.607,−0.541,−0.440,−0.700
Sagittal stratum L,8.2,−2.571,−0.536,−0.438,−0.675
External capsule R,35.04,−3.111,−0.598,−0.445,−0.842
External capsule L,31.02,−2.981,−0.587,−0.443,−0.810
Cingulum (cingulate gyrus) R,35.65,−3.600,−0.655,−0.450,−0.846
Cingulum (cingulate gyrus) L,55.58,−3.994,−0.684,−0.439,−0.895
Cingulum (hippocampus) R,37.46,−2.856,−0.574,−0.448,−0.707
Cingulum (hippocampus) L,46.84,−3.012,−0.594,−0.442,−0.737
Fornix (cres) / Stria terminalis R,2.49,−2.230,−0.485,−0.449,−0.563
Superior longitudinal fasciculus R,29.82,−2.981,−0.586,−0.446,−0.827
Superior longitudinal fasciculus L,38.29,−2.910,−0.579,−0.441,−0.774
Superior fronto-occipital fasciculus L,0.99,−2.286,−0.495,−0.490,−0.503
Uncinate fasciculus R,76.58,−4.230,−0.715,−0.477,−0.807
Uncinate fasciculus L,19.68,−2.417,−0.512,−0.441,−0.638
Tapetum R,9.9,−2.908,−0.580,−0.466,−0.698
Tapetum L,2.67,−2.524,−0.530,−0.464,−0.607
