fw-DTI,fw-DTI,fw-DTI,fw-DTI
(A),f index,f index,f index
Unnamed: 0_level_2,CN < MCI,CN < MCI,CN < MCI
Unnamed: 0_level_3,t-stats,t-stats,Effect-size
Unnamed: 0_level_4,Vol (%),<t>,gmax
JHU Atlas,,,
Anterior thalamic radiation L,9.02,2.202,0.827
Anterior thalamic radiation R,19.04,2.146,0.81
Cortical spinal tract L,6.25,2.002,0.631
Cortical spinal tract R,17.03,1.99,0.662
Cingulum cingulate gyrus L,12.71,2.018,0.762
Cingulum cingulate gyrus R,7.43,2.208,0.68
Cingulum hippocampus R,21.62,2.563,0.798
Forceps major,21.15,2.266,0.735
Forceps minor,21.69,2.403,0.877
Inferior fronto-occipital fasciculus L,9.29,2.109,0.761
Inferior fronto-occipital fasciculus R,23.84,2.22,0.858
Inferior longitudinal fasciculus L,5.06,2.006,0.845
Inferior longitudinal fasciculus R,28.33,2.305,0.795
Superior longitudinal fasciculus L,9.0,2.097,0.905
Superior longitudinal fasciculus R,7.93,2.013,0.674
Uncinate fasciculus L,9.77,2.146,0.793
Uncinate fasciculus R,33.49,2.353,0.861
Superior longitudinal fasciculus temporal L,11.96,1.948,0.785
Superior longitudinal fasciculus temporal R,9.51,1.926,0.674
ICBM81 Atlas,,,
Genu of corpus callosum,43.78,2.378,0.825
Splenium of corpus callosum,46.75,2.394,0.735
Superior cerebellar peduncle R,25.0,2.465,0.646
Cerebral peduncle R,56.23,2.042,0.662
Anterior limb of internal capsule R,17.94,2.224,0.629
Anterior corona radiata R,18.32,2.332,0.858
Anterior corona radiata L,4.82,2.096,0.672
Posterior thalamic radiation R,24.85,2.204,0.622
Sagittal stratum R,40.31,2.383,0.757
Cingulum (cingulate gyrus) L,18.36,1.979,0.762
Cingulum (hippocampus) R,43.93,2.634,0.798
Superior longitudinal fasciculus L,17.11,1.915,0.69
Uncinate fasciculus R,74.21,2.388,0.614
