Unnamed: 0,Control (n = 17),PD (n = 14),MSA (n = 16),PSP (n = 16),P-value
"Age, mean (SD)",63.9 (8.4),64.7 (6.9),62.3 (7.3),69.2 (6.2),0.056
"Sex, M:F",9∶8,7∶7,8∶8,6∶10,
"Disease duration,mean (SD)",,6.6 (2.0),5.1 (2.7),5.2 (2.5),0.181
H&Y??? medianscore (range),,2.5 (2.0–3.0),3.0 (2.5–5.0),4.0 (3.0–4.0),<0.001
Schwab and EnglandADL??? medianscore (range),,90% (80–100%),60% (40–80%),45% (20–80%),<0.01
"UPDRS III,???mean +/− SD (range)",,21.8+/−9.6 (5–38),37.6+/−13.5 (12–62),35.9+/−6.6 (24–47),<0.001
"Occulomotor Score,???median (range)",,0 (0–3),1.5 (0–5),16 (7–20),<0.001
"Cerebellar Score,???median (range)",,0 (0–2),7.5 (0–13),2 (0–6),<0.05
"MMSE, mean (SD)",29 (1),29.5 (1.1),28 (2.7),26 (2.7),<0.001
"DRS, mean (SD)",140 (3.4),140 (2.9),135.4 (8.9),126 (10.2),<0.001
