Unnamed: 0_level_0,FA,FA,MD,MD,RD,RD,AxD,AxD
Unnamed: 0_level_1,ROI,p-Value,ROI,p-Value,ROI,p-Value,ROI,p-Value
a) ADNI-EF,SS L,5.77E− 5,SS L,1.85E− 9,SS L,9.15E− 10,SS L,4.21E− 8
a) ADNI-EF,TOTAL,1.38E− 4,SS R,8.12E− 9,SS R,8.81E− 9,SS R,4.78E− 8
a) ADNI-EF,GCC,2.46E− 4,CGC L,4.68E− 8,CGC L,1.39E− 7,CGC L,1.55E− 6
a) ADNI-EF,SS R,3.42E− 4,CGC R,3.10E− 7,CGH L,3.29E− 7,CGC R,1.75E− 6
a) ADNI-EF,PTR R,4.33E− 4,CGH L,6.04E− 7,CGC R,1.62E− 6,RLIC L,2.17E− 6
a) ADNI-EF,ACR L,4.66E− 4,RLIC L,1.46E− 6,TOTAL,1.63E− 6,TOTAL,4.02E− 6
a) ADNI-EF,CC,4.83E− 4,TOTAL,1.61E− 6,IFO R,7.14E− 6,CGH L,5.08E− 6
a) ADNI-EF,Fx/ST L,7.55E− 4,IFO R,3.31E− 6,ACR L,9.49E− 6,EC L,5.85E− 6
a) ADNI-EF,PTR L,7.90E− 4,SLF L,4.27E− 6,ACR R,1.08E− 5,SCC,7.35E− 6
a) ADNI-EF,SCC,8.84E− 4,EC L,8.76E− 6,SLF L,1.85E− 5,SLF L,1.21E− 5
# sig/43,28 (p < 2.39E− 2),28 (p < 2.39E− 2),43 (p < 3.24E− 2),43 (p < 3.24E− 2),43 (p < 3.27E− 2),43 (p < 3.27E− 2),41 (p < 3.49E− 2),41 (p < 3.49E− 2)
,,,,,,,,
,,,,,,,,
b) ADNI-MEM,–,–,CGH L,1.38E− 9,CGH L,1.68E− 9,CGH L,5.28E− 9
b) ADNI-MEM,–,–,SS L,4.70E− 8,SS L,1.26E− 7,SS L,7.59E− 8
b) ADNI-MEM,–,–,CGC L,4.14E− 7,IFO R,2.41E− 6,CGC L,2.88E− 7
b) ADNI-MEM,–,–,IFO R,5.05E− 7,CGC L,4.24E− 6,SS R,4.83E− 7
b) ADNI-MEM,–,–,IFO L,1.03E− 6,IFO L,8.30E− 6,EC L,8.94E− 7
b) ADNI-MEM,–,–,SS R,2.21E− 6,SS R,9.67E− 6,IFO R,1.40E− 6
b) ADNI-MEM,–,–,CGC R,4.87E− 6,CGC R,3.68E− 5,IFO L,1.44E− 6
b) ADNI-MEM,–,–,EC L,2.14E− 5,EC L,2.22E− 4,CGC R,3.15E− 6
b) ADNI-MEM,–,–,CGH R,1.33E− 4,CGH R,3.36E− 4,UNC L,4.44E− 5
b) ADNI-MEM,–,–,UNC L,1.65E− 4,UNC L,3.69E− 4,CGH R,5.00E− 5
# sig/43,0,0,35 (p < 3.06E− 2),35 (p < 3.06E− 2),33 (p < 3.35E− 2),33 (p < 3.35E− 2),35 (p < 3.51E− 2),35 (p < 3.51E− 2)
