Unnamed: 0_level_0,FA,FA,MD,MD,RD,RD,A × D,A × D
Unnamed: 0_level_1,ROI,p-Value,ROI,p-Value,ROI,p-Value,ROI,p-Value
a) MMSE,CGH L,2.87E− 5,CGH L,3.12E− 12,CGH L,1.65E− 12,CGH L,5.28E− 10
a) MMSE,CGH R,7.55E− 5,UNC L,8.18E− 9,UNC L,3.10E− 9,UNC L,8.36E− 8
a) MMSE,ACR L,1.56E− 4,CGH R,5.68E− 8,CGH R,3.37E− 8,SS L,4.47E− 7
a) MMSE,ACR R,2.46E− 4,SS L,7.43E− 8,SS L,9.68E− 7,TOTAL,8.91E− 7
a) MMSE,UNC L,6.83E− 4,TOTAL,2.18E− 6,ACR L,2.96E− 6,CGH R,1.17E− 6
a) MMSE,CGC R,8.43E− 4,CGC L,2.60E− 6,Fx/ST R,3.51E− 6,SS R,2.69E− 6
a) MMSE,TOTAL,8.48E− 4,IFO L,3.14E− 6,ACR R,3.76E− 6,SCR L,5.88E− 6
a) MMSE,Fx/ST R,9.37E− 4,Fx/ST R,3.38E− 6,CGC L,6.53E− 6,TAP L,6.45E− 6
a) MMSE,CP R,1.01E− 3,ACR L,5.58E− 6,CGC R,6.87E− 6,IFO L,1.90E− 5
a) MMSE,CC,1.24E− 3,ACR R,6.06E− 6,Fx/ST L,2.85E− 5,CC,1.98E− 5
# sig/43,22 (p < 2.43E− 2),22 (p < 2.43E− 2),38 (p < 3.72E− 2),38 (p < 3.72E− 2),34 (p < 3.22E− 2),34 (p < 3.22E− 2),35 (p < 3.44E− 2),35 (p < 3.44E− 2)
,,,,,,,,
b) CDR-sob,CGH L,3.28E− 6,CGH L,2.86E− 11,CGH L,6.23E− 12,CGH R,2.05E− 9
b) CDR-sob,CGH R,8.87E− 6,CGH R,3.66E− 11,CGH R,2.19E− 11,CGH L,1.20E− 8
b) CDR-sob,SCC,2.01E− 5,SS L,1.43E− 7,UNC L,1.83E− 7,TOTAL,7.95E− 7
b) CDR-sob,CC,1.23E− 4,UNC L,5.52E− 7,SS L,5.05E− 7,SCC,8.78E− 7
b) CDR-sob,UNC L,1.29E− 4,SCC,6.97E− 7,TOTAL,2.39E− 6,SCR R,2.05E− 6
b) CDR-sob,TOTAL,2.25E− 4,TOTAL,8.68E− 7,SCC,2.58E− 6,SS R,3.65E− 6
b) CDR-sob,Fx/ST R,4.14E− 4,CC,3.33E− 6,Fx/ST R,2.93E− 6,SS L,3.68E− 6
b) CDR-sob,CP L,4.25E− 4,SS R,3.89E− 6,ACR L,1.13E− 5,TAP L,4.12E− 6
b) CDR-sob,SS L,5.32E− 4,Fx/ST R,4.84E− 6,CC,1.22E− 5,SCR L,4.80E− 6
b) CDR-sob,GCC,6.98E− 4,CGC L,5.22E− 6,CGC R,1.71E− 5,IFO L,4.92E− 6
# sig/43,24 (p < 2.36E− 2),24 (p < 2.36E− 2),38 (p < 2.89E− 2),38 (p < 2.89E− 2),37 (p < 4.18E− 2),37 (p < 4.18E− 2),34 (p < 1.48E− 2),34 (p < 1.48E− 2)
,,,,,,,,
c) ADAS-cog,CGH L,3.39E− 6,CGH L,4.98E− 13,CGH L,1.85E− 13,CGH L,2.01E− 10
c) ADAS-cog,CGH R,4.72E− 4,CGH R,1.38E− 8,CGH R,1.47E− 8,UNC L,8.50E− 8
c) ADAS-cog,SS L,6.63E− 4,UNC L,3.98E− 8,UNC L,3.55E− 8,CGH R,1.68E− 7
c) ADAS-cog,SCC,1.17E− 3,SS L,8.17E− 8,SS L,4.98E− 7,SS L,5.17E− 7
c) ADAS-cog,ACR R,2.21E− 3,IFO L,1.21E− 6,Fx/ST R,2.33E− 6,TOTAL,1.95E− 6
c) ADAS-cog,Fx/ST R,2.79E− 3,CGC R,1.26E− 6,CGC R,5.10E− 6,SS R,3.10E− 6
c) ADAS-cog,Fx/ST L,2.81E− 3,Fx/ST R,1.70E− 6,CGC L,1.72E− 5,IFO L,3.85E− 6
c) ADAS-cog,CC,3.14E− 3,SS R,2.15E− 6,TOTAL,2.59E− 5,SLF L,8.29E− 6
c) ADAS-cog,TOTAL,3.19E− 3,CGC L,2.47E− 6,Fx/ST L,4.92E− 5,SCC,8.48E− 6
c) ADAS-cog,GCC,3.62E− 3,TOTAL,7.14E− 6,SS R,5.48E− 5,IFO R,9.62E− 6
# sig/43,16 (p < 1.65E− 2),16 (p < 1.65E− 2),39 (p < 3.76E− 2),39 (p < 3.76E− 2),35 (p < 3.210E− 2),35 (p < 3.210E− 2),35 (p < 1.48E− 2),35 (p < 1.48E− 2)
