Unnamed: 0_level_0,NC,MCI,e-MCI,l-MCI,AD,p-value for group difference,p-value for group difference,p-value for group difference,p-value for group difference
Unnamed: 0_level_1,(n = 44),(n = 88),(n = 62),(n = 26),(n = 23),NC vs MCI,MCI vs AD,e-MCI vs l-MCI,NC vs AD
Age,72.7 ± 5.9,73.3 ± 7.3,74.0 ± 7.9,71.8 ± 5.3,75.8 ± 10.0,0.59,0.27,0.15,0.17
Sex,22 M/22 F,53 M/35 F,38 M/24 F,15 M/11 F,15 M/8 F,–,–,–,–
Education,16.6 ± 2.7,15.9 ± 2.7,15.8 ± 2.8,16.2 ± 2.5,15.0 ± 3.0,0.18,0.22,0.50,0.05
MMSE,28.9 ± 1.3,27.8 ± 1.6,28.0 ± 1.5,27.5 ± 1.8,23.0 ± 1.9,1.01E− 4,4.90E− 12,0.24,1.57E− 14
ADAS-cog???,5.3 ± 2.9,9.6 ± 4.2,8.4 ± 3.7,12.7 ± 4.0,20.4 ± 7.3,2.90E− 9,2.04E− 6,1.45E− 4,1.04E− 8
CDR-sob,0.03 ± 0.1,1.3 ± 0.7,1.2 ± 0.6,1.4 ± 0.9,4.96 ± 1.4,1.38E− 27,2.69E− 12,0.27,2.68E− 14
ADNI-MEM???,0.84 ± 0.52,0.22 ± 0.46,0.36 ± 0.42,− 0.12 ± 0.38,− 0.74 ± 0.68,1.01E− 8,4.14E− 6,5.97E− 6,3.64E− 10
ADNI-EF???,0.79 ± 0.74,0.16 ± 0.64,0.14 ± 0.61,0.19 ± 0.73,− 0.86 ± 0.87,1.65E− 5,5.16E− 5,0.75,2.51E− 8
