Unnamed: 0_level_0,ANCOVA,ANCOVA,ANCOVA,POST-HOC COMPARISONS,POST-HOC COMPARISONS,POST-HOC COMPARISONS,POST-HOC COMPARISONS,POST-HOC COMPARISONS,POST-HOC COMPARISONS,POST-HOC COMPARISONS,POST-HOC COMPARISONS,POST-HOC COMPARISONS
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,CN > EMCI,CN > EMCI,CN > EMCI,CN > LMCI,CN > LMCI,CN > LMCI,EMCI > LMCI,EMCI > LMCI,EMCI > LMCI
JHU WM Tractography,% Vol,<F>,max η2,% Vol,<t>,max |g|,% Vol,<t>,max |g|,% Vol,<t>,max |g|
Anterior thalamic radiation L,30.94,7.777,0.099,13.09,2.96,0.678,20.26,3.147,0.881,0.74,2.129,0.559
Anterior thalamic radiation R,26.42,7.979,0.089,11.36,3.103,0.607,19.3,2.974,0.877,0.2,2.08,0.598
Cortical spinal tract L,21.18,6.747,0.087,11.55,3.068,0.605,8.01,2.649,0.606,-,-,-
Cortical spinal tract R,19.25,5.483,0.089,6.37,2.514,0.628,10.27,2.364,0.811,0.21,2.471,0.598
Cingulum cingulate gyrus L,70.62,7.626,0.07,52.97,2.952,0.571,54.79,3.049,0.76,-,-,-
Cingulum cingulate gyrus R,65.6,6.995,0.064,36.6,2.826,0.569,53.61,2.945,0.694,-,-,-
Cingulum hippo L,47.6,10.68,0.088,-,-,-,40.62,3.353,0.871,-,-,-
Forceps major,21.24,4.447,0.043,-,-,-,7.46,2.503,0.6,-,-,-
Forceps minor,33.76,5.561,0.051,12.22,2.844,0.471,23.83,2.752,0.672,0.28,2.079,0.519
Inferior fronto-occipital fasc L,33.17,7.254,0.075,15.75,3.302,0.598,22.62,3.03,0.788,0.24,2.107,0.609
Inferior fronto-occipital fasc R,28.89,5.655,0.056,8.42,2.853,0.483,15.91,2.754,0.671,-,-,-
Inferior longitudinal fasc L,35.65,6.725,0.117,19.21,3.134,0.61,21.05,2.916,1.037,0.14,2.07,0.513
Inferior longitudinal fasc R,29.86,5.847,0.053,13.97,2.844,0.457,17.45,2.746,0.666,-,-,-
Superior longitudinal fasc L,38.63,5.816,0.062,22.87,2.831,0.598,23.24,2.792,0.65,-,-,-
Superior longitudinal fasc R,23.36,4.353,0.044,9.53,2.535,0.392,9.66,2.528,0.607,-,-,-
Uncinate fasc L,33.78,7.32,0.088,16.94,3.133,0.558,28.14,3.02,0.852,-,-,-
Uncinate fasc R,33.56,6.006,0.046,4.67,2.805,0.409,22.64,3.045,0.693,0.98,1.95,0.566
Sup longitudinal fasc temporal L,50.39,6.428,0.062,32.04,2.989,0.598,32.68,2.881,0.65,-,-,-
Sup longitudinal fasc temporal R,32.27,4.596,0.044,14.66,2.625,0.392,16.31,2.578,0.579,-,-,-
ICBM-DTI 81,% Vol,<F>,max η2,% Vol,<t>,max |g|,% Vol,<t>,max |g|,% Vol,<t>,max |g|
Middle cerebellar peduncle,35.79,8.198,0.123,20.17,2.698,0.761,10.02,1.599,0.785,-,-,-
Pontine crossing tract (a part of MCP),39.8,4.614,0.025,-,-,-,-,-,-,-,-,-
Genu of corpus callosum,51.18,6.126,0.049,35.44,2.912,0.471,29.88,2.698,0.642,-,-,-
Body of corpus callosum,77.49,10.53,0.085,68.53,3.526,0.638,65.98,3.283,0.83,-,-,-
Splenium of corpus callosum,47.19,6.115,0.056,22.08,2.845,0.488,32.72,2.895,0.716,-,-,-
Fornix (column and body of fornix),69.35,18.3,0.119,59.18,4.014,0.652,69.35,4.329,1.04,8.69,2.784,0.723
Corticospinal tract R,33.63,4.919,0.056,12.7,2.842,0.423,8.22,2.585,0.639,-,-,-
Corticospinal tract L,12.26,5.545,0.04,4.16,2.741,0.344,-,-,-,-,-,-
Medial lemniscus R,29.86,5.382,0.052,-,-,-,-,-,-,-,-,-
Medial lemniscus L,32.47,4.804,0.033,-,-,-,-,-,-,-,-,-
Inferior cerebellar peduncle R,52.17,11.78,0.116,28.72,3.725,0.691,42.56,2.507,0.951,-,-,-
Inferior cerebellar peduncle L,44.01,12.65,0.139,25.31,3.466,0.773,-,-,-,-,-,-
Superior cerebellar peduncle R,46.77,7.564,0.078,20.46,2.606,0.524,34.17,2.405,0.784,-,-,-
Superior cerebellar peduncle L,55.54,7.851,0.08,36.79,2.696,0.607,-,-,-,-,-,-
Cerebral peduncle R,35.82,4.859,0.036,-,-,-,29.89,2.812,0.58,-,-,-
Cerebral peduncle L,21.55,4.099,0.035,-,-,-,10.76,2.465,0.463,-,-,-
Anterior limb of internal capsule L,10.47,3.459,0.031,3.38,2.228,0.266,-,-,-,-,-,-
Posterior limb of internal capsule R,10.31,4.049,0.024,-,-,-,5.67,2.413,0.417,-,-,-
Posterior limb of internal capsule L,17.99,4.934,0.04,9.12,2.632,0.322,8.66,2.419,0.447,-,-,-
Retrolenticular part of internal capsule R,49.74,6.096,0.044,36.9,2.945,0.42,19.68,2.763,0.668,-,-,-
Retrolenticular part of internal capsule L,66.42,9.5,0.065,57.63,3.367,0.5,53.79,3.112,0.707,-,-,-
Anterior corona radiata R,36.11,4.725,0.047,-,-,-,20.79,2.849,0.674,-,-,-
Anterior corona radiata L,23.02,5.076,0.049,7.68,2.79,0.427,15.95,2.652,0.672,-,-,-
Superior corona radiata R,27.96,5.953,0.053,14.28,3.051,0.502,14.77,2.807,0.583,-,-,-
Superior corona radiata L,33.59,8.964,0.107,21.54,3.787,0.688,12.23,3.66,0.878,-,-,-
Posterior corona radiata R,21.19,6.484,0.044,13.01,3.173,0.457,11.91,2.551,0.572,-,-,-
Posterior corona radiata L,30.75,7.607,0.075,18.04,3.496,0.629,17.88,2.719,0.63,-,-,-
Posterior thalamic radiation R,41.52,4.876,0.052,10.05,2.847,0.483,21.42,2.36,0.571,-,-,-
Posterior thalamic radiation L,45.45,4.9,0.053,6.94,3.142,0.516,17.17,2.412,0.539,-,-,-
Sagittal stratum R,43.27,5.997,0.044,25.72,2.625,0.423,30.39,2.592,0.587,-,-,-
Sagittal stratum L,44.29,8.269,0.065,37.29,3.148,0.517,31.91,3.05,0.672,-,-,-
External capsule R,51.54,6.707,0.045,7.91,2.774,0.389,39.44,3.01,0.686,1.59,2.117,0.524
External capsule L,61.95,8.434,0.067,43.98,2.826,0.52,55.93,3.251,0.854,2.83,2.655,0.712
Cingulum (cingulate gyrus) R,71.9,8.436,0.062,55.04,2.948,0.56,63.45,3.182,0.694,-,-,-
Cingulum (cingulate gyrus) L,76.12,8.295,0.069,63.54,3.054,0.543,62.09,3.092,0.669,-,-,-
Cingulum (hippocampus) L,75.5,12.48,0.088,-,-,-,73.51,3.602,0.871,-,-,-
Fornix (cres)/stria terminalis R,73.4,10.77,0.087,55.16,3.071,0.518,68.77,3.367,0.931,2.94,2.345,0.637
Fornix (cres)/stria terminalis L,73.6,18.74,0.118,70.93,4.259,0.682,73.6,4.292,0.97,-,-,-
Superior longitudinal fasciculus R,45.48,4.486,0.044,21.99,2.589,0.52,17.69,2.556,0.579,-,-,-
Superior longitudinal fasciculus L,62.32,6.214,0.047,45.13,2.942,0.491,34.94,2.754,0.617,-,-,-
Superior fronto-occipital fasciculus L,30.77,4.698,0.03,-,-,-,24.65,2.202,0.437,-,-,-
Uncinate fasciculus R,86.58,5.978,0.037,-,-,-,77.63,3.056,0.657,3.68,1.743,0.513
Uncinate fasciculus L,63.83,10.05,0.051,60.64,3.196,0.472,56.38,3.177,0.623,-,-,-
Tapetum R,70.81,5.744,0.031,17.62,2.454,0.252,67.28,2.794,0.506,-,-,-
Tapetum L,68.67,9.624,0.063,-,-,-,66.83,3.372,0.765,-,-,-
