Unnamed: 0,CN A − (N = 40),CN A + (N = 48),MCI A + (N = 26),AD A + (N = 19),p
Demographics,Demographics,Demographics,Demographics,Demographics,Demographics
Age (years),75.2 ± 8.4,74.9 ± 7.5,75.4 ± 9.2,75.7 ± 9.6,0.123
"Male, N (%)",17 (42.5%),17 (35.4%),7 (26.9%),9 (47.4%),0.367
Education (years),16.1 ± 2.4,16.6 ± 2.4,15.8 ± 2.3,15.3 ± 2.4,0.144
"APOE ε4, N (%)",9 (23.1%)a,22 (45.8%)a,15 (57.7%),11 (57.9%),0.763
Vascular risk factors,Vascular risk factors,Vascular risk factors,Vascular risk factors,Vascular risk factors,Vascular risk factors
"Hypertension, N (%)",14 (35.0%),22 (45.8%),13 (50.0%),8 (44.4%),0.630
"Diabetes, N (%)",3 (7.5%),6 (12.5%),0,0,0.128
"Hyperlipidemia, N (%)",16 (40%),26 (54.2%),12 (46.2%),8 (44.4%),0.608
"Smoking, N (%)",6 (15.0%),9 (18.8%),6 (23.1%),1 (5.6%),0.458
"Heart disease, N (%)",6 (15.0%),4 (8.3%),4 (15.4%),3 (16.7%),0.701
Imaging characteristics,Imaging characteristics,Imaging characteristics,Imaging characteristics,Imaging characteristics,Imaging characteristics
TIV (mm3),1483.4 ± 147.4,1461.7 ± 150.0,1457.2 ± 147.0,1467.4 ± 207.8,0.901
WMH burden,− 0.006 ± 0.505,0.391 ± 0.723,0.418 ± 0.646,0.868 ± 0.532,< 0.001
"Presence of lacune, N (%)",2 (5%),5 (10.4%),2 (7.7%),1 (5.3%),0.781
Presence of microbleed (%),4 (10%),3 (6.3%),3 (11.5%),6 (31.6%),0.036
Global Aβ burden (SUVR),1.024 ± 0.047,1.298 ± 0.178,1.458 ± 0.201,1.417 ± 0.161,< 0.001
PVS rating score,PVS rating score,PVS rating score,PVS rating score,PVS rating score,PVS rating score
Basal ganglia PVS,2.00 (2.00–3.75),2.50 (2.00–3.00),3.00 (1.00–3.25),3.00 (1.00–4.00),0.041
White matter PVS,2.00 (2.00–2.75),3.00 (2.00–3.00),2.00 (1.75–3.00),3.00 (2.00–3.00),0.987
Choroid plexus volume,1.085 ± 0.339,1.005 ± 0.244,1.061 ± 0.232,1.229 ± 0.225,0.029
DTI-ALPS,1.355 ± 0.155,1.341 ± 0.106,1.255 ± 0.161,1.154 ± 0.184,< 0.001
