Unnamed: 0_level_0,DTI based tractography,DTI based tractography,CSD based tractography,CSD based tractography
Unnamed: 0_level_1,Beta (95% CI),p-value,Beta (95% CI),p-value
Model 1,,,,
FA,0.31 (−0.10; 0.72),0.134,0.27 (−0.15; 0.68),0.197
MD,−0.39 (−0.80; 0.002),0.051,−0.37 (−0.78; 0.04),0.074
Axial diffusivity,−0.34 (−0.75; 0.08),0.104,−0.35 (−0.76; 0.07),0.097
Radial diffusivity,−0.38 (−0.79; 0.02),0.061,−0.34 (−0.76; 0.07),0.099
Model 2,,,,
FA,0.54 (0.06; 1.02),0.031,0.50 (0.01; 1.00),0.045
MD,−0.45 (−0.86; −0.04),0.035,−0.45 (−0.88; −0.02),0.04
Axial diffusivity,−0.33 (−0.76; 0.10),0.122,−0.34 (−0.77; 0.08),0.109
Radial diffusivity,−0.51 (−0.94; −0.08),0.022,−0.50 (−0.96; −0.05),0.031
