PMID,title,subjects,patient_groups,imaging_modalities,whitematter_tracts,analysis_software,study_type,diffusion_measures,template_space,results_method,white_integrity,question_of_study,DTI_study,Human_study,Dementia_study,Disease_study
36931328,Abnormal white matter changes in Alzheimers disease based on diffusion tensor imaging: A systematic review,humans,Alzheimer's disease;Subjective cognitive decline;Mild cognitive impairment;Dementia;Healthy controls,diffusion MRI;Anatomical MRI,,,review,,,,decrease,MCI vs Healthy controls;d-AD vs Healthy controls;Alzheimer's disease patients vs Healthy controls;SCD vs Healthy controls,yes,yes,yes,Mild Cognitive Impairment;Dementia;Alzheimers Disease
34454529,Attenuating vascular stenosis-induced astrogliosis preserves white matter integrity and cognitive function,mice,BCAS mice;BCAS + vehicle;Sham;BCAS + HOE642,MRI;diffusion MRI;DTI,,,single study,FA,,,decrease;increase,BCAS mice treated with HOE642 vs BCAS vehicle-treated mice;BCAS mice vs sham controls,yes,no,no,
39129270,"Association of cortical morphology, white matter hyperintensity, and glymphatic function in frontotemporal dementia variants",humans,Nonfluent Variant Primary Progressive Aphasia;Frontotemporal dementia (FTD);Behavioral Variant Frontotemporal Dementia;Semantic Variant Of Primary Progressive Aphasia,diffusion MRI;Anatomical MRI,,,single study,,,,no mention,"Association of cortical morphology, white matter hyperintensity, and glymphatic function in frontotemporal dementia variants",yes,yes,yes,Semantic Variant Of Primary Progressive Aphasia;Behavioral Variant Frontotemporal Dementia;Primary Progressive Aphasia
37174620,Basal Ganglia Compensatory White Matter Changes on DTI in Alzheimers Disease,humans,Alzheimers disease;Healthy controls,diffusion tensor imaging;diffusion MRI,,,single study,FA;quantitative anisotropy,,,decrease;increase,White matter structure changes in the motor basal ganglia in Alzheimers disease patients vs healthy controls,yes,yes,yes,Alzheimers Disease
38465597,Relationship of Perivascular Space Markers With Incident Dementia in Cerebral Small Vessel Disease,humans,Patients without dementia at baseline;Patients with lacunar stroke and confluent white matter hyperintensities;Cerebral small vessel disease,diffusion MRI;Anatomical MRI,,,single study,MD,,survival analysis;regression,decrease;no change,DTI-ALPS and PVS volume predicting incident dementia in patients with lacunar stroke and confluent white matter hyperintensities;Association of DTI-ALPS and PVS volume with cognition,yes,yes,yes,Cerebral Small Vessel Disease
28552181,White Matter Integrity on DTI and the Pathologic Staging of Alzheimers Disease,humans,Alzheimer's disease,diffusion tensor MRI (DTI);diffusion MRI,Fornix;Hippocampal Cingulum,,single study,FA;MD,,voxel-based analysis;regression,decrease;increase,Alzheimer's patients with high vs low Braak NFT stage;High vs low beta-amyloid neuritic plaque groups,yes,yes,yes,Alzheimers Disease
38365045,Diffusion MRI marks progressive alterations in fiber integrity in the zQ175DN mouse model of Huntingtons disease,mice,zQ175DN heterozygous (HET) mice;wild-type controls,diffusion MRI;DTI,,,single study,DTI metrics;fiber cross-section;FBA metrics;fiber density,,,decrease,"progression of white matter deficits in zQ175DN HET mice vs wild-type controls across 3, 6, and 11 months",yes,no,no,
31012815,An official website of the United States government Heres how you know,,,,,,,,,,,,no,no,no,
18157658,Diffusion Tensor Imaging (DTI)-based White Matter Mapping in Brain Research: A Review,humans,Stroke;Multiple sclerosis;Dementia;Schizophrenia;Aging;Healthy controls,diffusion MRI;Anatomical MRI,,,review,,,,no mention,development and utility of DTI in radiology and anatomy studies;white matter architecture and integrity in normal versus diseased brains,yes,yes,yes,Dementia
24510641,Profiles of White Matter Tract Pathology in Frontotemporal Dementia,humans,Healthy controls;Behavioral Variant Frontotemporal Dementia;Alzheimer's disease,diffusion MRI;Anatomical MRI,Cingulum Bundle;Uncinate Fasciculus;Corpus Callosum,,single study,FA;RD,,,decrease,Behavioral Variant Frontotemporal Dementia vs Healthy controls;Behavioral Variant Frontotemporal Dementia vs Alzheimer's disease,yes,yes,yes,Alzheimers Disease;Behavioral Variant Frontotemporal Dementia
28975068,NeuroImage: Clinical,humans,Alzheimer's disease;Behavioral Variant Frontotemporal Dementia;Semantic Variant Primary Progressive Aphasia;Healthy controls;Frontotemporal dementia;Non-fluent Variant Primary Progressive Aphasia,diffusion MRI,Corpus Callosum - Genu;Fornix;Superior Longitudinal Fasciculus;Corpus Callosum,,single study,FA;MD,,,decrease,Frontotemporal dementia subtypes and Alzheimer's disease vs healthy controls,yes,yes,yes,Behavioral Variant Frontotemporal Dementia;Primary Progressive Aphasia;Alzheimers Disease;Semantic Variant Of Primary Progressive Aphasia;Frontotemporal Dementia
