Unnamed: 0,Rich club strength,Feeder strength,Peripheral strength
"Age, years",−0.500⁎⁎⁎,−0.322⁎⁎⁎,−0.474⁎⁎⁎
"Age, years","[−0.587, −0.414]","[−0.403, −0.241]","[−0.547, −0.400]"
Sex,.238⁎⁎,−0.038,.038
Sex,"[.095, 0.382]","[−0.172, 0.096]","[−0.083, 0.160]"
"Time, years",−0.040,.046,.025
"Time, years","[−0.118, 0.038]","[−0.027, 0.120]","[−0.042, 0.091]"
"WMH, ml",−0.189⁎⁎⁎,−0.336⁎⁎⁎,−0.270⁎⁎⁎
"WMH, ml","[−0.278, −0.101]","[−0.419, −0.254]","[−0.344, −0.195]"
"WMH progression, ml",−0.016,−0.041,−0.036
"WMH progression, ml","[−0.094, 0.063]","[−0.115, 0.032]","[−0.102, 0.031]"
"Lacunes, number",−0.067⁎⁎,−0.089⁎⁎⁎,−0.108⁎⁎⁎
"Lacunes, number","[−0.116, −0.018]","[−0.136, −0.043]","[−0.150, −0.066]"
"Incident lacunes, number",.021,.002,.014
"Incident lacunes, number","[−0.024, 0.067]","[−0.041, 0.044]","[−0.025, 0.053]"
"Microbleeds, number",−0.005,−0.033⁎⁎⁎,−0.034⁎⁎⁎
"Microbleeds, number","[−0.024, 0.013]","[−0.050, −0.015]","[−0.049, −0.018]"
"Incident microbleeds, number",.003,−0.0002,−0.003
"Incident microbleeds, number","[−0.015, 0.021]","[−0.017, 0.017]","[−0.018, 0.013]"
Total brain volume,.006,.003,.001
Total brain volume,"[−0.010, 0.022]","[−0.013, 0.018]","[−0.013, 0.014]"
Loss of total brain volume,−0.035,.003,.004
Loss of total brain volume,"[−0.101, 0.032]","[−0.062, 0.069]","[−0.052, 0.061]"
