Event???,"Participants, No. (%)","Participants, No. (%)"
Event???,ω-3 (n = 51),Placebo (n = 51)
At least 1 serious adverse event,16 (31.4),16 (31.4)
At least 1 adverse event,44 (86.3),41 (80.4)
Serious adverse events,,
Hospitalizations???,12 (23.5),14 (27.4)
Vascular disorders nonhematological,0,3 (5.8)
Renal and urinary disorders,2 (3.9),2 (3.9)
Cardiac disorders,2 (3.9),2 (3.9)
Gastrointestinal disorders,1 (1.9),0
"Injury, poisoning, and procedural complications",4 (7.8),0
Deaths???,4 (7.8),1 (1.9)
"Injury, poisoning, and procedural complications",1 (1.9),0
"Vascular disorders, nonhematological",0,1 (1.9)
Renal and urinary disorders,1 (1.9),0
"Vascular disorders, hematological",1 (1.9),0
"Neoplasms benign, malignant, and unspecified",1 (1.9),0
Adverse events,,
"Injury, poisoning, and procedural complications",17 (33.3),14 (27.4)
Musculoskeletal and connective tissue disorders,12 (23.5),14 (27.4)
Gastrointestinal disorders,10 (19.6),15 (29.4)
Nervous system disorders,12 (23.5),13 (25.4)
"Respiratory, thoracic, and mediastinal disorders",11 (21.5),10 (19.6)
Psychiatric disorders,9 (17.6),8 (15.6)
"Vascular disorders, hematological",9 (17.6),4 (7.8)
"Neoplasms benign, malignant, and unspecified",5 (9.8),8 (15.6)
General disorders and administration site conditions,6 (11.7),4 (7.8)
Cardiac disorders,3 (5.8),5 (9.8)
Renal and urinary disorders,4 (7.8),4 (7.8)
Infections and infestations,5 (9.8),2 (3.9)
Surgical and medical procedures,3 (5.8),4 (7.8)
Vascular disorders nonhematological,1 (1.9),5 (9.8)
