Characteristic,"Participants, No. (%) (N = 102)","Participants, No. (%) (N = 102)"
Characteristic,ω-3 (n = 51),Placebo (n = 51)
"Age, mean (SD) [range], y",81.2 (4.4) [75-96],81.1 (4.4) [75-93]
Sex,,
Female,31 (60.8),31 (60.8)
Male,20 (39.2),20 (39.2)
Race and ethnicity,,
African American or Black,1 (2.0),0
Asian,3 (5.9),0
"White, Hispanic",3 (5.9),1 (2.0)
"White, Non-Hispanic",44 (86.3),50 (98.0)
Education,,
High school graduate or less,14 (27.5),10 (19.6)
Some college,9 (17.6),11 (21.6)
College graduate or advanced degree,28 (54.9),30 (58.8)
"Systolic blood pressure, mean (SD), mm Hg",146.7 (13.7),145.2 (18.6)
"Diastolic blood pressure, mean (SD), mm Hg",68.9 (10.7),70.7 (13.0)
"Body mass index, mean (SD)???",27.4 (4.8),26.2 (3.8)
Apolipoprotien E ε4 carrier,13 (25.5),15 (29.4)
"Plasma ω-3 polyunsaturated fatty acid (20:5 + 22:6), mean (SD), mg/dL",7.135 (2.448),6.662 (2.176)
"Mini-Mental State Exam score, mean (SD)",27.6 (1.7),28.2 (1.8)
"Montreal Cognitive Assessment score, mean (SD)",24.0 (3.2),24.7 (3.0)
Clinical Dementia Rating of 0,35 (68.6),36 (70.6)
"Instrumental Activities of Daily Living, mean (SD), No.",0.1 (0.5),0.1 (0.2)
"Geriatric Depression Scale score, mean (SD)",1.6 (1.6),1.3 (1.3)
History of depression,11 (21.6),12 (23.5)
History of hypertension,39 (76.4),35 (68.6)
History of vascular disease,8 (15.7),7 (13.7)
