Characteristics,Characteristics,ADNI,ADNI,ADNI,ADNI,ADNI,ADNI,NACC,NACC,NACC
Characteristics,Characteristics,Training set (n = 121),Training set (n = 121),Training set (n = 121),Test set (n = 52),Test set (n = 52),Test set (n = 52),Validation set (n = 52),Validation set (n = 52),Validation set (n = 52)
Characteristics,Characteristics.1,MCI stable(n = 89),MCI progression(n = 32),P value,MCI stable(n = 39),MCI progression(n = 13),P value,MCI stable(n = 37),MCI progression(n = 15),P value
"Gender(n, %)",Male,55 (61.80%),18 (56.25%),0.582,23(58.97%),7 (53.85%),0.746,23(62.16%),11(73.33%),0.443
"Gender(n, %)",Female,34 (38.20%),14 (43.75%),0.582,16 (41.03%),6 (46.15%),0.746,14(37.84%),4(26.67%),0.443
"Age(year), mean(SD)","Age(year), mean(SD)",71.97 ± 7.40,74.89 ± 6.65,0.051,72.53 ± 8.4,67.04 ± 9.13,0.051,72.81 ± 5.74,75.40 ± 7.93,0.194
"Education, mean(SD)","Education, mean(SD)",15.82 ± 2.65,16.03 ± 2.79,0.704,16.77 ± 2.21,15.54 ± 2.76,0.108,16.11 ± 2.50,14.53 ± 3.16,0.063
"ADAS, mean(SD)","ADAS, mean(SD)",8.40 ± 3.55,13.11 ± 5.44,< 0.001*,9.17 ± 4.88,13.05 ± 3.92,0.012*,,,
"CDR, mean(SD)","CDR, mean(SD)",1.21 ± 0.73,1.80 ± 0.75,0.001*,1.19 ± 0.76,1.92 ± 0.76,0.004*,0.69 ± 0.85,2.23 ± 1.19,< 0.001
"APOE4 (n, %)",negative,48 (53.93%),8 (25.00%),0.005*,22(56.41%),5 (38.46%),0.262,,,
"APOE4 (n, %)",positive,41 (46.07%),24 (75.00%),0.005*,17(43.59%),8 (61.54%),0.262,,,
