Area,FA at 30 months (Mean ± SD),FA at 30 months (Mean ± SD),FA at 30 months (Mean ± SD),FA at 36 months (Mean ± SD),FA at 36 months (Mean ± SD),FA at 36 months (Mean ± SD),FA at 42 months (Mean ± SD),FA at 42 months (Mean ± SD),FA at 42 months (Mean ± SD),FA at 48 months (Mean ± SD),FA at 48 months (Mean ± SD),FA at 48 months (Mean ± SD)
Area,Control,HD,p,Control,HD,p,Control,HD,p,Control,HD,p
mPMC,0.41 ± 0.02,0.35 ± 0.02,0.01*,0.42 ± 0.02,0.34 ± 0.02,0.005*,0.41 ± 0.02,0.32 ± 0.01,0.007*,0.42 ± 0.03,0.30 ± 0.02,0.005*
VIP,0.44 ± 0.01,0.38 ± 0.01,0.004*,0.43 ± 0.01,0.36 ± 0.01,0.001*,0.42 ± 0.01,0.35 ± 0.01,0.001*,0.38 ± 0.02,0.32 ± 0.02,0.01*
TAa,0.32 ± 0.03,0.22 ± 0.05,0.006*,0.32 ± 0.03,0.21 ± 0.05,0.003*,0.31 ± 0.03,0.19 ± 0.04,0.004*,0.31 ± 0.03,0.18 ± 0.03,0.004*
MLF,0.43 ± 0.02,0.38 ± 0.01,0.02*,0.44 ± 0.02,0.38 ± 0.01,0.02*,0.45 ± 0.01,0.35 ± 0.03,0.001*,0.44 ± 0.01,0.33 ± 0.03,<0.001*
IC,0.43 ± 0.02,0.35 ± 0.01,0.01*,0.43 ± 0.03,0.32 ± 0.01,0.004*,0.43 ± 0.02,0.31 ± 0.03,0.003*,0.42 ± 0.02,0.29 ± 0.03,0.003*
AF,0.40 ± 0.02,0.35 ± 0.03,0.01*,0.41 ± 0.03,0.33 ± 0.03,0.01*,0.42 ± 0.03,0.31 ± 0.03,0.01*,0.40 ± 0.02,0.26 ± 0.04,<0.001*
CC,0.64 ± 0.05,0.57 ± 0.03,0.11,0.65 ± 0.06,0.58 ± 0.02,0.15,0.67 ± 0.04,0.58 ± 0.03,0.03*,0.68 ± 0.04,0.57 ± 0.04,0.01*
StB,0.40 ± 0.03,0.33 ± 0.02,0.04*,0.39 ± 0.02,0.30 ± 0.03,0.02*,0.38 ± 0.02,0.28 ± 0.02,0.006*,0.37 ± 0.02,0.25 ± 0.03,0.001*
UF,0.33 ± 0.02,0.29 ± 0.02,0.03*,0.34 ± 0.02,0.29 ± 0.02,0.004*,0.35 ± 0.02,0.27 ± 0.02,0.002*,0.35 ± 0.01,0.25 ± 0.02,0.001*
MdLF,0.37 ± 0.03,0.33 ± 0.03,0.15,0.38 ± 0.03,0.32 ± 0.04,0.07,0.39 ± 0.02,0.31 ± 0.04,0.004*,0.39 ± 0.02,0.29 ± 0.04,0.004*
CB,0.43 ± 0.02,0.35 ± 0.04,0.005*,0.44 ± 0.04,0.32 ± 0.02,0.02*,0.41 ± 0.02,0.30 ± 0.01,0.001*,0.40 ± 0.04,0.30 ± 0.02,0.02*
SS,0.32 ± 0.02,0.27 ± 0.03,0.02*,0.32 ± 0.02,0.26 ± 0.02,0.03*,0.32 ± 0.02,0.25 ± 0.04,0.002*,0.32 ± 0.02,0.24 ± 0.04,0.006*
dOB,0.39 ± 0.01,0.36 ± 0.02,0.03*,0.40 ± 0.01,0.35 ± 0.01,0.01*,0.40 ± 0.01,0.34 ± 0.01,0.004*,0.40 ± 0.01,0.32 ± 0.01,0.001*
EmC,0.43 ± 0.02,0.38 ± 0.01,0.03*,0.45 ± 0.02,0.37 ± 0.02,0.009*,0.46 ± 0.02,0.34 ± 0.03,0.008*,0.47 ± 0.02,0.33 ± 0.04,0.004*
EC,0.36 ± 0.01,0.27 ± 0.01,0.001*,0.35 ± 0.02,0.24 ± 0.01,0.004*,0.35 ± 0.03,0.22 ± 0.02,0.005*,0.33 ± 0.02,0.21 ± 0.01,0.003*
FX,0.35 ± 0.02,0.26 ± 0.01,0.001*,0.36 ± 0.02,0.24 ± 0.01,0.002*,0.34 ± 0.02,0.23 ± 0.01,0.003*,0.33 ± 0.02,0.23 ± 0.01,0.003*
ILF,0.40 ± 0.02,0.34 ± 0.03,0.06,0.40 ± 0.03,0.30 ± 0.01,0.007*,0.40 ± 0.02,0.29 ± 0.01,0.003*,0.39 ± 0.02,0.28 ± 0.02,0.004*
SLF Im,0.40 ± 0.02,0.33 ± 0.03,0.01*,0.41 ± 0.02,0.33 ± 0.04,0.007*,0.41 ± 0.02,0.33 ± 0.04,0.002*,0.41 ± 0.01,0.30 ± 0.03,<0.001*
SLF Ip,0.37 ± 0.03,0.31 ± 0.02,0.05,0.37 ± 0.02,0.28 ± 0.01,0.003*,0.36 ± 0.02,0.27 ± 0.02,0.004*,0.35 ± 0.03,0.26 ± 0.02,0.008*
SLF IIa,0.55 ± 0.01,0.47 ± 0.04,0.03*,0.56 ± 0.01,0.45 ± 0.03,0.003*,0.56 ± 0.01,0.43 ± 0.02,<0.001*,0.56 ± 0.02,0.42 ± 0.01,<0.001*
SLF IIm,0.54 ± 0.03,0.46 ± 0.02,0.045*,0.55 ± 0.02,0.45 ± 0.01,0.005*,0.55 ± 0.02,0.42 ± 0.01,0.002*,0.53 ± 0.03,0.41 ± 0.02,0.01*
SLF IIp,0.35 ± 0.03,0.31 ± 0.03,0.06,0.35 ± 0.03,0.28 ± 0.02,0.02*,0.35 ± 0.02,0.27 ± 0.02,0.007*,0.33 ± 0.02,0.24 ± 0.02,0.006*
SLF III,0.47 ± 0.02,0.39 ± 0.02,0.01*,0.48 ± 0.01,0.36 ± 0.03,<0.001*,0.47 ± 0.02,0.34 ± 0.03,0.001*,0.47 ± 0.02,0.32 ± 0.03,<0.001*
