pmcid,ext-link-type,href
3053228,uri,http://creativecommons.org/licenses/by/2.0
3053228,uri,http://www.whocc.no/atcddd/
3053228,uri,http://sourceforge.net/projects/spmtools
3053228,uri,http://www.biomedcentral.com/1471-2377/11/29/prepub
4444480,uri,http://creativecommons.org/licenses/by-nc/4.0/
4444480,uri,http://dbm.neuro.uni-jena.de/vbm/
4444480,uri,http://www.fmrib.ox.ac.uk/fsl/
5461938,uri,http://creativecommons.org/licenses/by/4.0/
5461938,uri,http://www.xinapse.com/j-im-7-software/
5461938,uri,http://www.fil.ion.ucl.ac.uk/spm/
5461938,uri,https://fsl.fmrib.ox.ac.uk/fsl
5461938,uri,http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FDT
5461938,uri,http://www.ibm.com/analytics/us/en/technology/spss/
5461938,uri,https://www.ncbi.nlm.nih.gov/pubmed/
8258736,uri,https://www.nytimes.com/2018/02/09/opinion/sunday/loneliness-health.html?smid=em-share
8258736,uri,https://nobascholar.com
3669206,uri,http://www.fmrib.ox.ac.uk/fsl/
3669206,uri,http://www.fil.ion.ucl.ac.uk/spm/
3669206,uri,http://dbm.neuro.uni-jena.de/vbm8/
3669206,uri,http://www.cs.waikato.ac.nz/ml/weka/
3669206,uri,http://petermondrup.com/?page_id=127
3669206,uri,http://www.talairach.org
3669206,uri,http://brainmap.org/icbm2tal
7683078,uri,https://creativecommons.org/licenses/by-nc/4.0/
7683078,pmc:clinical-trial,NCT01041989
7683078,uri,https://fsl.fmrib.ox.ac.uk/fsl/
7683078,uri,https://www.j-alz.com/manuscript-disclosures/20-0423r1
4418835,uri,http://afni.nimh.nih.gov/pub/dist/doc/manual/AlphaSim.pdf
5428287,uri,http://creativecommons.org/licenses/by/4.0/
10481508,uri,https://creativecommons.org/licenses/by/4.0/
10481508,uri,https://creativecommons.org/publicdomain/zero/1.0/
10481508,uri,http://www.fil.ion.ucl.ac.uk/spm
4240303,uri,http://creativecommons.org/licenses/by-nc/4.0/
4240303,uri,http://brain.oxfordjournals.org/lookup/suppl/doi:10.1093/brain/awu298/-/DC1
4240303,uri,http://www.fmrib.ox.ac.uk/fsl
11656998,uri,https://doi.org/10.1103/PhysRev.94.630
11656998,uri,https://doi.org/10.1016/j.neuroimage.2007.02.049
11656998,uri,https://doi.org/10.1186/s12880-016-0163-7
11656998,uri,https://doi.org/10.3174/ajnr.A4368
11656998,uri,https://doi.org/10.1016/j.neuroscience.2013.11.026
11656998,uri,https://doi.org/10.1016/j.bandc.2010.11.008
11656998,uri,http://dx.doi.org/10.1523/JNEUROSCI.23-08-03295.2003
11656998,uri,https://doi.org/10.1016/j.brainres.2009.04.025
11656998,uri,https://doi.org/10.1093/cercor/bhq111
11656998,uri,https://doi.org/10.1007/s00429-013-0655-y
10559725,uri,http://loop.frontiersin.org/people/1075962/overview
10559725,uri,http://loop.frontiersin.org/people/52441/overview
10559725,uri,http://loop.frontiersin.org/people/143383/overview
10559725,uri,http://clinicaltrials.gov
10559725,pmc:clinical-trial,NCT03366129
10559725,uri,https://freesurfer.net/
10559725,uri,https://fsl.fmrib.ox.ac.uk
10559725,uri,https://dipy.org/
10559725,uri,http://cabeen.io/qitwiki
10559725,uri,https://www.stata.com/
10559725,uri,https://www.hpc.nih.gov
10559725,uri,https://www.Uptodate.com
10559725,uri,https://www.frontiersin.org/articles/10.3389/fneur.2023.1172031/full#supplementary-material
11294966,uri,https://jamanetwork.com/pages/cc-by-license-permissions
11294966,uri,https://clinicaltrials.gov/study/NCT01953705
11294966,uri,http://www.equator-network.org/reporting-guidelines/consort/
11294966,uri,https://www.R-project.org/
7909688,uri,http://creativecommons.org/licenses/by/4.0/
7909688,uri,https://en.wikipedia.org/wiki/Block_design_test
7909688,uri,https://en.wikipedia.org/wiki/Digit_Symbol-Coding
7909688,uri,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=emed9&NEWS=N&AN=2010683165
6918918,uri,https://creativecommons.org/licenses/by-nc/4.0/
6918918,uri,http://www.hippocampal-protocol.net/SOPs/index.php
6918918,uri,http://cran.r-project.org/web/packages/glmnet/index.html
6918918,uri,https://www.j-alz.com/manuscript-disclosures/19-0446r1
9927845,uri,https://creativecommons.org/licenses/by/4.0/
9927845,uri,http://www.MRICloud.org
9927845,uri,http://www.MriStudio.orgorwww.kennedykrieger.org
9927845,uri,https://surfer.nmr.mgh.harvard.edu
9927845,uri,https://publons.com/publon/10.1002/brb3.2863
9927845,uri,https://www.un.org/en/development/desa/population/publications/pdf/ageing/WPA2015_Report.pdf
9927845,uri,https://www.who.int/news-room/fact-sheets/detail/dementia
5334426,uri,http://www.ncbi.nlm.nih.gov/pubmed/11805245
5334426,uri,http://www.ncbi.nlm.nih.gov/pubmed/1202204
6296345,uri,https://creativecommons.org/licenses/by-nc-nd/4.0/
6706343,uri,http://clinicaltrials.gov
6706343,uri,http://www.fmrib.ox.ac.uk/fsl
6706343,uri,http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FSLVBM
6706343,uri,http://www.fmriboxacuk/analysis/techrep
6706343,uri,http://circos.ca/
6706343,uri,https://doi.org/10.1016/j.nicl.2019.101975
8921113,uri,https://creativecommons.org/licenses/by/4.0/
8921113,uri,http://adni.loni.usc.edu/methods/documents/
8921113,uri,http://adni.loni.usc.edu/methods/pet-analysis-method/pet-analysis/
8921113,uri,http://adni.loni.usc.edu/methods/
8921113,uri,https://adni.loni.usc.edu/wpcontent/uploads/how_to_apply/ADNI_Acknowledgement_List.pdf
4630483,uri,http://creativecommons.org/licenses/by-nc/4.0/
4630483,uri,http://www.volume-one.org
4630483,uri,http://www.utradiology.umin.jp/people/masutani/dTV.htm
4630483,uri,http://www.fil.ion.ucl.ac.uk/spm/software/spm5/
8381344,uri,https://creativecommons.org/licenses/by/4.0/
8381344,uri,https://resources.world.rugby/worldrugby/document/2020/07/28/212ed9cf-cd61-4fa3-b9d4-9f0d5fb61116/P56-57-Participation-Map_v3.pdf
8381344,uri,https://www.R-project.org
6535714,uri,http://www.creativecommons.org/licenses/by-nc/4.0/
6535714,uri,https://us.sagepub.com/en-us/nam/open-access-at-sage
6535714,uri,https://journals.sagepub.com/doi/suppl/10.1177/1756286419843447
6535714,uri,https://orcid.org/0000-0002-7106-9270
7363568,uri,http://surfer.nmr.mgh.harvard.edu/
7363568,uri,https://dian.wustl.edu/our-research/observational-study/dian-observational-study-investigator-resources/data-request-form
7363568,uri,https://doi.org/10.1016/j.nbd.2020.104960
11564857,uri,https://creativecommons.org/licenses/by/4.0/
11564857,uri,http://surfer.nmr.mgh.harvard.edu
7267920,uri,http://creativecommons.org/licenses/by/4.0/
7267920,uri,https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FMRIB58_FA
7267920,uri,https://github.com/apoorvasafai/NMS-SNc-atlas
5683343,uri,https://doi.org/10.1126/scitranslmed.aaf2362
5683343,uri,https://doi.org/10.1016/j.jalz.2011.09.229
5683343,uri,https://doi.org/10.1093/cercor/bhv107
4361402,uri,http://www.fnih.org
4361402,uri,http://www.adni-info.org/
4361402,uri,http://www.fmrib.ox.ac.uk/fsl
4361402,uri,http://icatb.sourceforge.net/
4361402,uri,http://adni.loni.usc.edu/wp-content/uploads/how_to_apply/ADNI_Acknowledgement_List.pdf
4236070,uri,http://www.fmrib.ox.ac.uk/fsl/tbss/
4053642,uri,http://www.fil.ion.ucl.ac.uk/spm
4053642,uri,http://www.fmrib.ox.ac.uk/fsl/
4053642,uri,http://cmic.cs.ucl.ac.uk/camino/
4053642,uri,http://www.nitrc.org/projects/dtitk/
4053642,doi,10.1016/j.nicl.2014.02.001
8435601,uri,http://loop.frontiersin.org/people/714504/overview
8435601,uri,http://loop.frontiersin.org/people/722263/overview
8435601,uri,http://loop.frontiersin.org/people/1314252/overview
8435601,uri,http://loop.frontiersin.org/people/777559/overview
8435601,uri,http://loop.frontiersin.org/people/617723/overview
8435601,uri,http://loop.frontiersin.org/people/1365533/overview
8435601,uri,http://loop.frontiersin.org/people/713909/overview
8435601,uri,https://www.fil.ion.ucl.ac.uk/spm/
2842443,uri,http://www.mristudio.org
3285682,uri,http://www.cs.waikato.ac.nz/ml/weka
3285682,uri,http://dx.doi.org/10.1111/j.1471-4159.2011.07447.x
3285682,uri,http://dx.doi.org/10.1016/j.jalz.2011.03.003
3285682,uri,http://dx.doi.org/10.1038/nbt1206-1565
3285682,uri,http://www.sciencedirect.com/science/article/B8MCK-4W1VVRM-2/2/7a2040a35373045bc4c9bb2a8dc5e1df
3285682,uri,http://dx.doi.org/10.1002/ana.410190306
3285682,uri,http://www.ncbi.nlm.nih.gov/pubmed/20371138
3285682,uri,http://dx.doi.org/10.1093/brain/awp123
3285682,uri,http://dx.doi.org/10.1093/brain/awm319
3285682,uri,http://dx.doi.org/10.1007/s00234-008-0463-x
3285682,uri,http://dx.doi.org/10.1016/j.neuroimage.2008.02.043
3285682,uri,http://dx.doi.org/10.1016/j.neuroimage.2009.11.046
3285682,uri,http://dx.doi.org/10.1016/j.neuroimage.2007.10.031
3285682,uri,http://dx.doi.org/10.1016/j.neurobiolaging.2006.09.013
3285682,uri,http://dx.doi.org/10.1016/j.neurobiolaging.2006.11.010
3285682,uri,http://dx.doi.org/10.1016/j.neuroimage.2007.07.008
3285682,uri,http://dx.doi.org/10.3233/JAD-2010-100840
3285682,uri,http://dx.doi.org/10.1371/journal.pone.0021745
3285682,uri,http://dx.doi.org/10.1016/j.brainres.2009.06.052
