Unnamed: 0_level_0,SIVD (n = 24),SIVD (n = 24),AD (n = 32),AD (n = 32),T-test,T-test
Unnamed: 0_level_1,Mean,SD,Mean,SD,t,p
Age(years),71.71,12.01,73.59,8.00,−0.67,0.509
Education(years),5.96,3.69,5.00,3.71,0.96,0.342
Fazekas scale,4.67,1.09,2.13,1.24,8.00,< 0.001***
Hachinski score,7.63,2.92,1.09,0.86,10.63,< 0.001***
Mini-Mental State Examination,19.08,5.04,21.03,4.67,−1.49,0.141
Cognitive Abilities Screening Instrument,61.04,14.78,67.19,15.20,−1.52,0.136
CDR sum-of –box,4.48,3.86,3.53,2.58,1.04,0.304
,,,,Chi-square,Chi-square,Chi-square
,n,% of presence,n,% of presence,x2,p
Gender (Male/Female),13/11,54.2/45.8,15/17,46.9/53.1,0.29,0.589
Global CDR,,,,,1.82,0.402
CDR = 0.5,14,58.3,21,65.6,,
CDR = 1,7,29.2,10,31.3,,
CDR = 2,3,12.5,1,3.1,,
System disease,System disease,System disease,System disease,System disease,System disease,System disease
Hypertension,13,54.2,12,37.5,1.54,0.214
Diabetes mellitus,12,50.0,5,15.6,7.67,0.006**
Chronic kidney disease,7,29.2,4,12.5,2.41,0.120
Coronal artery disease,11,45.8,2,6.3,12.06,0.001**
Medication,Medication,Medication,Medication,Medication,Medication,Medication
Acetylcholinesterase inhibitors,0,0.0,17,53.1,18.31,< 0.001***
Antidepressants,4,16.7,5,15.6,0.01,0.916
Antipsychotics,0,0.0,1,3.1,0.76,0.382
Benzodiazepines,0,0.0,4,12.5,3.23,0.072
