Unnamed: 0,Overall (n = 92),NC (n = 22),CAA (n = 34),MCI (n = 21),AD (n = 15),p-value
Age (y),71.0 ± 8.0,67.8 ± 9.6,74.4 ± 7.4,70.6 ± 5.9,68.7 ± 7.2,0.007
Female (%),39 (42.4),12 (54.6),13 (38.2),8 (38.1),6 (40.0),0.62
Education (y),14.6 ± 2.9,14.8 ± 2.7,13.7 ± 2.7,15.2 ± 3.1,15.3 ± 3.2,0.15
Current Smokers (%),4 (4.4),1 (4.5),2 (5.6),0 (0),1 (6.3),0.72
Past Smokers (%),43 (46.7),9 (40.9),18 (52.8),7 (33.3),9 (62.5),0.33
Hypertension (%),40 (43.5),2 (9.1),26 (76.5),7 (33.3),5 (31.3),<0.001
Hypercholestero-lemia (%),35 (38.0),8 (36.4),17 (50.0),7 (33.3),3 (20.0),0.18
Diabetes (%),15 (16.3),1 (4.6),8 (23.5),4 (19.0),2 (13.3),0.29
CAD (%),10 (10.9),1 (4.6),4 (11.8),4 (19.0),1 (6.7),0.45
AFib (%),8 (8.7),1 (4.6),4 (11.8),1 (4.8),2 (13.3),0.69
ICH (%),15 (16.3),0 (0),15 (44.1),0 (0),0 (0),<0.001
