Tract,Diffusion index,rp: MoCA,Unnamed: 3,Unnamed: 4,Unnamed: 5
(a) Cognition-related partial correlation???,(a) Cognition-related partial correlation???,(a) Cognition-related partial correlation???,(a) Cognition-related partial correlation???,(a) Cognition-related partial correlation???,(a) Cognition-related partial correlation???
ICP (R),MD,−0.445???,,,
ICP (L),MD,−0.443???,,,
CST-pyramids (R),MD,−0.423???,,,
Tract,Diffusion index,rp: IPAQ-SF MET,rp: SARC-F,rp: Actigraphy IV,rp: Actigraphy IS
(b) Physical activity-related partial correlation???,(b) Physical activity-related partial correlation???,(b) Physical activity-related partial correlation???,(b) Physical activity-related partial correlation???,(b) Physical activity-related partial correlation???,(b) Physical activity-related partial correlation???
PCR (R),FA,0.451???,−0.466???,−0.752???,0.610???
PCR (L),FA,0.430???,,−0.867???,
SCR (L),FA,,,−0.811???,
