Unnamed: 0_level_0,FA,FA,FA,MD,MD,MD
Unnamed: 0_level_1,AD vs NC,MCI vs NC,AD vs MCI,AD vs NC,MCI vs NC,AD vs MCI
ATR_L,0,0,0,35,0,0
ATR_R,0,0,0,0,0,0
CST_L,0,0,0,44,0,0
CST_R,0,0,0,33,0,0
Ccing_L,0,0,0,0,0,0
Ccing_R,56,31,0,17,0,0
Chippo_L,0,0,0,23,0,0
Chippo_R,0,0,0,0,0,0
CC Splenium,15,0,0,0,0,0
CC Genu,17,0,0,0,0,0
IFOF_L,0,0,0,36,0,16
IFOF_R,0,0,0,38,0,0
ILF_L,24,0,0,59,0,0
ILF_R,0,0,19,26,0,0
SLF_L,0,0,0,86,0,0
SLF_R,0,0,0,0,0,0
UF_L,28,0,0,88,0,0
UF_R,0,0,0,100,0,45
AF_L,0,0,0,72,21,0
AF_R,0,0,0,0,0,0
