Unnamed: 0_level_0,n1:n2:n3,AD,MCI,NC,ANOVA,ANOVA,ANOVA,Post-hoc groupwise (LSD),Post-hoc groupwise (LSD),Post-hoc groupwise (LSD)
Unnamed: 0_level_1,n1:n2:n3,(N = 25),(N = 29),(N = 34),F,Df,p,AD vs NC,MCI vs NC,AD vs MCI
ATR_L,24:29:34,0.454 ± 0.044,0.453 ± 0.038,0.453 ± 0.027,0.006,86,0.994,0.924,0.997,0.924
ATR_R,25:29:34,0.444 ± 0.042,0.463 ± 0.03,0.460 ± 0.028,2.449,87,0.092,0.070,0.769,0.044
CST_L,25:29:34,0.622 ± 0.044,0.620 ± 0.043,0.625 ± 0.025,0.152,87,0.859,0.750,0.588,0.846
CST_R,25:29:34,0.615 ± 0.042,0.622 ± 0.032,0.622 ± 0.031,0.345,87,0.710,0.465,0.981,0.467
CCing_L,23:28:33,0.446 ± 0.067,0.461 ± 0.067,0.487 ± 0.066,2.812,83,0.066,0.024,0.127,0.423
CCing_R,20:27:33,0.413 ± 0.044,0.434 ± 0.049,0.466 ± 0.036,10.209,79,<0.001???,<0.001???,0.005???,0.107
CHippo_L,9:15:22,0.354 ± 0.059,0.380 ± 0.058,0.389 ± 0.052,1.257,45,0.295,0.120,0.618,0.282
CHippo_R,12:19:30,0.370 ± 0.039,0.393 ± 0.052,0.394 ± 0.070,0.712,60,0.495,0.257,0.952,0.316
CC Splenium,21:27:33,0.589 ± 0.056,0.601 ± 0.043,0.613 ± 0.051,1.535,80,0.222,0.086,0.368,0.391
CC Genu,24:27:34,0.503 ± 0.040,0.509 ± 0.037,0.519 ± 0.039,1.173,84,0.315,0.142,0.331,0.610
IFOF_L,22:26:34,0.438 ± 0.045,0.463 ± 0.030,0.473 ± 0.034,6.582,81,0.002???,0.001???,0.308,0.016???
IFOF_R,23:27:31,0.433 ± 0.046,0.454 ± 0.040,0.467 ± 0.030,5.18,80,0.008???,0.002,0.203,0.058
ILF_L,23:29:33,0.415 ± 0.030,0.436 ± 0.034,0.436 ± 0.037,3.111,84,0.050???,0.028,0.989,0.032
ILF_R,24:28:34,0.401 ± 0.042,0.426 ± 0.037,0.415 ± 0.043,2.506,85,0.088,0.183,0.304,0.028
SLF_L,23:29:34,0.427 ± 0.048,0.427 ± 0.035,0.428 ± 0.051,0.015,85,0.985,0.887,0.879,0.999
SLF_R,25:29:34,0.452 ± 0.050,0.459 ± 0.048,0.458 ± 0.048,0.167,87,0.846,0.623,0.957,0.600
UF_L,25:29:34,0.406 ± 0.033,0.419 ± 0.038,0.433 ± 0.034,4.384,87,0.015???,0.004,0.107,0.189
UF_R,24:29:34,0.392 ± 0.031,0.398 ± 0.035,0.416 ± 0.030,4.55,86,0.013???,0.006,0.028,0.518
AF_L,24:28:34,0.516 ± 0.055,0.522 ± 0.038,0.532 ± 0.034,1.108,85,0.335,0.148,0.377,0.560
AF_R,24:25:33,0.492 ± 0.041,0.498 ± 0.041,0.489 ± 0.039,0.345,81,0.709,0.815,0.414,0.590
