Unnamed: 0,Total sample (n = 203),Impulse dyscontrol symptoms absent (n = 123),Impulse dyscontrol symptoms present (n = 80),p‐value
"Age (M, SD)",73.30 (6.67),73.30 (6.66),73.30 (6.75),0.59
"Education (M, SD)",16.10 (2.71),16.10 (2.82),16.00 (2.56),0.74
"Female (n, %)",92 (45.32),64 (69.60),28 (30.40),0.021
"Diagnostic status (n, %)","Diagnostic status (n, %)","Diagnostic status (n, %)","Diagnostic status (n, %)","Diagnostic status (n, %)"
NC,70 (34.48),58 (82.86),12 (17.14),<001
MCI,95 (46.80),52 (54.74),43 (45.26),
AD,38 (18.72),13 (34.21),25 (65.79),
"ADNI_MEM (M, SD)","ADNI_MEM (M, SD)","ADNI_MEM (M, SD)","ADNI_MEM (M, SD)","ADNI_MEM (M, SD)"
NC,1.09 (0.62),1.03 (0.63),1.39 (0.45),0.04
MCI,0.22 (0.59),0.21 (0.57),0.24 (0.62),0.97
AD,−0.82 (0.48),−0.86 (0.47),−0.80 (0.49),0.63
"ADNI_EF (M, SD)","ADNI_EF (M, SD)","ADNI_EF (M, SD)","ADNI_EF (M, SD)","ADNI_EF (M, SD)"
NC,0.87 (0.74),0.83 (0.77),1.04 (0.58),0.42
MCI,0.17 (0.79),0.15 (0.74),0.18 (0.86),0.82
AD,−0.87 (0.93),−1.04 (1.05),−0.79 (0.87),0.44
"Psychotropic medication use (n, %)",52 (25.62),25 (20.33),27 (33.75),0.03
