Unnamed: 0_level_0,Talairach coordinate,Talairach coordinate,Talairach coordinate,Cluster,T,Z,Region,BA ROI#
Unnamed: 0_level_1,X,Y,Z,Cluster,T,Z,Region,BA ROI#
gm,No significant difference,No significant difference,No significant difference,No significant difference,No significant difference,No significant difference,No significant difference,No significant difference
Neg,No significant difference,No significant difference,No significant difference,No significant difference,No significant difference,No significant difference,No significant difference,No significant difference
Pos,−58,−32,14,"4,975",5.95,5.6,"L. superior temporal gyrus, WM",ROI6
,−54,24,8,"4,975",5.89,5.56,"L. inferior frontal gyrus, GM",45
,52,−12,22,"1,550",5.75,5.43,"R. sublobar extranuclear, WM",
,50,2,10,"1,550",5.46,5.18,"R. sublobar insula, WM",
,38,−24,18,"1,550",5.91,4.71,"R. sublobar insula, GM",
,34,−30,−16,383,5.51,5.23,"R. limbic parahippocampal gyrus, WM",
,50,−40,−22,383,3.9,3.79,"R. temporal fusiform gyrus, GM",13
,64,−16,−6,459,4.91,4.71,"R. superior temporal gyrus, WM",ROI7
,58,−26,−4,459,5.26,4.12,"R. superior temporal gyrus, WM",37 ROI8
,−2,−74,26,761,4.83,4.63,"L. occipital cuneus, GM",18
,−2,−60,30,761,4.65,4.47,L. limbic posterior cingulate,
,−2,−88,18,761,4.47,4.31,"L. occipital cuneus, GM",18
,−56,−66,10,404,4.72,4.53,"L. middle temporal gyrus, WM",
,−60,−58,2,404,4.24,4.1,"L. middle temporal gyrus, WM",
