Unnamed: 0,Region
Common regions (AD > MCI),
,No common region
Different regions (AD > MCI),Different regions (AD > MCI)
"pFA (ROI 6,7,8)","R. and L. superior temporal gyrus, WM"
,"L. inferior frontal gyrus, GM"
,"R. sublobar extranuclear, WM"
,"R. sublobar insula, GM and WM"
,"R. limbic parahippocampal gyrus, WM"
,"R. temporal fusiform gyrus, GM"
,"L. occipital cuneus, GM"
,L. limbic posterior cingulate
,"L. middle temporal gyrus, WM"
Common regions (AD > CN),
,No common region
Different regions (AD > CN),Different regions (AD > CN)
pFA,"L. inferior frontal gyrus, WM"
"ROI 9, 10","L. superior frontal gyrus, GM and WM"
