Unnamed: 0_level_0,Overall,Overall,Cognitively normal,Cognitively normal,Early MCI,Early MCI,Late MCI,Late MCI,Dementia,Dementia
Unnamed: 0_level_1,F,p,Beta,p,Beta,p,Beta,p,Beta,p
Time (years),2.028,0.09,0.059,0.146,0.050,0.095,− 0.033,0.698,− 0.297,0.082
Average MD,5.699,0.0,− 0.156,0.253,0.065,0.586,− 0.681,0.005,− 0.441,0.0
Average MD*time,1.03,0.391,− 0.052,0.271,− 0.027,0.285,0.062,0.456,0.083,0.274
Hippocampal volume,0.759,0.554,− 0.066,0.669,0.086,0.352,− 0.015,0.931,− 0.232,0.162
Hippocampal volume*time,2.815,0.025,0.013,0.776,0.065,0.017,0.141,0.021,− 0.017,0.846
Age,2.649,0.036,− 0.293,0.107,− 0.045,0.727,0.555,0.037,0.214,0.067
Years of education,4.006,0.004,0.146,0.2,0.321,0.001,0.177,0.109,0.080,0.41
Male,1.753,0.143,− 0.085,0.749,− 0.707,0.024,− 0.409,0.256,− 1.427,0.001
APOE ɛ3/4 or 4/4,2.916,0.024,− 0.091,0.739,− 0.079,0.689,1.247,0.002,0.311,0.177
Intracranial vault,2.201,0.072,0.273,0.06,− 0.158,0.188,− 0.158,0.499,0.301,0.087
