Unnamed: 0_level_0,Overall,Overall,Cognitively normal,Cognitively normal,Early MCI,Early MCI,Late MCI,Late MCI,Dementia,Dementia
Unnamed: 0_level_1,F,p,Beta,p,Beta,p,Beta,p,Beta,p
Time (years),4.152,0.003,0.124,0.051,0.002,0.947,− 0.137,0.038,− 0.292,0.004
Component 1,5.798,0.0,0.098,0.693,− 0.025,0.846,− 0.971,0.001,− 0.420,0.001
Component 1*time,0.765,0.549,0.038,0.617,− 0.053,0.12,− 0.010,0.926,0.052,0.54
Component 2,3.959,0.005,− 0.162,0.098,0.041,0.71,− 0.560,0.0,− 0.063,0.676
Component 2*time,0.801,0.525,− 0.004,0.918,− 0.005,0.865,0.040,0.492,0.159,0.102
Component 3,0.543,0.704,− 0.093,0.384,0.083,0.366,0.089,0.615,− 0.049,0.564
Component 3*time,1.337,0.256,− 0.075,0.026,− 0.011,0.743,0.017,0.802,0.023,0.655
Component 4,1.541,0.194,0.071,0.767,− 0.175,0.213,− 0.076,0.801,− 0.246,0.037
Component 4*time,1.324,0.26,0.005,0.944,− 0.084,0.092,− 0.194,0.126,0.021,0.767
Diagnosis at baseline,2.524,0.045,− 0.303,0.087,− 0.081,0.528,0.607,0.023,0.144,0.238
Age,3.354,0.012,0.059,0.641,0.316,0.001,0.145,0.181,0.048,0.616
Years of education,0.984,0.419,0.041,0.885,− 0.767,0.02,− 0.708,0.048,− 1.050,0.003
Male,2.677,0.035,− 0.127,0.616,− 0.132,0.498,1.172,0.004,0.257,0.256
APOE ɛ3/4 or 4/4,0.657,0.623,0.162,0.313,− 0.096,0.424,− 0.003,0.99,0.177,0.33
Intracranial vault,4.152,0.003,0.124,0.051,0.002,0.947,− 0.137,0.038,− 0.292,0.004
