ICC score and MRI measures,Model 1,Model 1,Model 1,Model 2,Model 2,Model 2
ICC score and MRI measures,β,SE,p,β,SE,p
"Total WM volume, normalized to ICV",−0.31,0.32,<0.001,−0.18,0.34,0.001
"Total GM volume, normalized to ICV",−0.32,0.35,<0.001,−0.20,0.36,<0.001
"Total hippocampus volume, normalized to ICV",−0.24,0.01,<0.001,−0.14,0.01,0.01
"Total thalamic volume, normalized to ICV",−0.25,0.01,<0.001,−0.16,0.01,0.006
Frontal cortex thickness,−0.20,0.01,<0.001,−0.09,0.02,0.15
Temporal cortex thickness,−0.31,0.02,<0.001,−0.16,0.02,0.004
Parietal cortex thickness,−0.28,0.01,<0.001,−0.15,0.01,0.008
Occipital cortex thickness,−0.21,0.01,<0.001,−0.11,0.01,0.07
Total NAWM volume,−0.16,11504.4,0.014,−0.07,10259.3,0.26
"Ischemic lesion volume, mm2",0.05,1299.5,0.49,__,__,__
"NAWM FA values, mm2/s",−0.11,0.002,0.10,__,__,__
"NAWM MD values, mm2/s",0.26,<0.001,<0.001,0.12,<0.001,0.06
"NAWM λ|| values, mm2/s",0.27,<0.001,<0.001,0.13,<0.001,0.05
"NAWM λ⊥ values, mm2/s",0.24,<0.001,<0.001,0.12,<0.001,0.07
