Unnamed: 0_level_0,Model I???,Unnamed: 2_level_0,Model II???,Unnamed: 4_level_0,Model III???,Unnamed: 6_level_0
FA Measures,β (95% CI),p,β (95% CI),p,β (95% CI),p
Outcome: Global cognition z-score,Outcome: Global cognition z-score,Outcome: Global cognition z-score,Outcome: Global cognition z-score,Outcome: Global cognition z-score,Outcome: Global cognition z-score,Outcome: Global cognition z-score
FA median???,"0.45 (0.31,0.59)",<0.001,"0.19 (0.05,0.32)",0.006,"0.19 (0.04,0.33)",0.012
Baseline???,"0.38 (0.22,0.53)",<0.001,"0.11 (−0.03,0.25)",0.124,"0.11 (−0.05,0.26)",0.169
Year 1???,"0.52 (0.38,0.67)",<0.001,"0.26 (0.12,0.40)",<0.001,"0.26 (0.11,0.41)",0.001
Year 2???,"0.49 (0.32,0.65)",<0.001,"0.22 (0.08,0.37)",0.002,"0.22 (0.07,0.37)",0.005
p for interaction,<0.001,,<0.001,,<0.001,
FA peak height???,"−0.52 (−0.67,−0.37)",<0.001,"−0.21 (−0.34,−0.08)",0.001,"−0.22 (−0.35,−0.09)",0.001
Baseline???,"−0.45 (−0.60,−0.29)",<0.001,"−0.13 (−0.26,0.00)",0.052,"−0.14 (−0.28,0.00)",0.054
Year 1???,"−0.60 (−0.76,−0.45)",<0.001,"−0.29 (−0.42,−0.16)",<0.001,"−0.30 (−0.44,−0.16)",<0.001
Year 2???,"−0.55 (−0.71,−0.39)",<0.001,"−0.24 (−0.37,−0.10)",0.001,"−0.24 (−0.38,−0.10)",0.001
p for interaction,<0.001,,<0.001,,<0.001,
,,,,,,
Cognitive domains,,,,,,
Outcome: Attention,,,,,,
FA median???,"0.09 (−0.03,0.20)",0.141,"0.01 (−0.11,0.13)",0.814,"0.04 (−0.08,0.16)",0.536
Baseline???,"0.01 (−0.12,0.15)",0.857,"−0.06 (−0.19,0.07)",0.367,"−0.04 (−0.18,0.10)",0.610
Year 1???,"0.15 (0.03,0.27)",0.017,"0.07 (−0.05,0.20)",0.263,"0.10 (−0.03,0.23)",0.127
Year 2???,"0.10 (−0.04,0.24)",0.160,"0.03 (−0.11,0.17)",0.692,"0.05 (−0.10,0.20)",0.497
p for interaction,0.044,,0.044,,0.045,
FA peak height???,"−0.13 (−0.25,−0.01)",0.039,"−0.01 (−0.14,0.11)",0.825,"−0.03 (−0.16,0.10)",0.614
Baseline???,"−0.05 (−0.18,0.09)",0.481,"0.06 (−0.07,0.20)",0.351,"0.04 (−0.10,0.19)",0.541
Year 1???,"−0.17 (−0.30,−0.05)",0.005,"−0.06 (−0.19,0.07)",0.358,"−0.08 (−0.22,0.05)",0.228
Year 2???,"−0.16 (−0.31,−0.01)",0.037,"−0.05 (−0.19,0.10)",0.538,"−0.06 (−0.21,0.09)",0.414
p for interaction,0.027,,0.027,,0.029,
Outcome: Executive function,Outcome: Executive function,Outcome: Executive function,Outcome: Executive function,Outcome: Executive function,Outcome: Executive function,Outcome: Executive function
FA median???,"0.55 (0.39,0.71)",<0.001,"0.25 (0.08,0.42)",0.005,"0.24 (0.06,0.42)",0.009
Baseline???,"0.48 (0.32,0.63)",<0.001,"0.17 (−0.01,0.35)",0.058,"0.16 (−0.02,0.35)",0.088
Year 1???,"0.60 (0.43,0.77)",<0.001,"0.30 (0.11,0.48)",0.002,"0.29 (0.09, 0.48)",0.004
Year 2???,"0.60 (0.41,0.79)",<0.001,"0.30 (0.11,0.49)",0.002,"0.29 (0.09,0.49)",0.004
p for interaction,0.026,,0.026,,0.025,
FA peak height???,"−0.61 (−0.77,−0.46)",<0.001,"−0.28 (−0.44,−0.12)",0.001,"−0.29 (−0.46,−0.12)",0.001
Baseline???,"−0.53 (−0.69,−0.37)",<0.001,"−0.20 (−0.37,−0.03)",0.020,"−0.21 (−0.38,−0.03)",0.019
Year 1???,"−0.68 (−0.85,−0.50)",<0.001,"−0.34 (−0.52,−0.17)",<0.001,"−0.35 (−0.54,−0.16)",<0.001
Year 2???,"−0.66 (−0.83,−0.48)",<0.001,"−0.32 (−0.50,−0.15)",<0.001,"−0.33 (−0.51,−0.15)",<0.001
p for interaction,0.013,,0.013,,0.013,
Outcome: Memory,,,,,,
FA median???,"0.36 (0.20,0.52)",<0.001,"0.12 (−0.01,0.25)",0.062,"0.09 (−0.05,0.23)",0.221
Baseline???,"0.34 (0.20,0.48)",<0.001,"0.06 (−0.08,0.19)",0.394,"0.02 (−0.12,0.17)",0.744
Year 1???,"0.45 (0.31,0.60)",<0.001,"0.17 (0.04,0.30)",0.011,"0.14 (−0.01,0.28)",0.062
Year 2???,"0.45 (0.28,0.62)",<0.001,"0.17 (0.02,0.32)",0.024,"0.13 (−0.03,0.29)",0.101
p for interaction,0.014,,0.014,,0.017,
FA peak height???,"−0.40 (−0.56,−0.23)",<0.001,"−0.14 (−0.26,−0.03)",0.017,"−0.13 (−0.26,−0.01)",0.037
p for interaction,0.068,,0.068,,0.081,
Outcome: Language,,,,,,
FA median???,"0.14 (−0.01,0.29)",0.066,"0.01 (−0.15,0.16)",0.938,"0.02 (−0.14,0.18)",0.784
p for interaction,0.191,,0.191,,0.188,
FA peak height???,"−0.22 (−0.37,−0.07)",0.005,"−0.06 (−0.22,0.11)",0.480,"−0.08 (−0.25,0.09)",0.349
Baseline???,"−0.12 (−0.29,0.05)",0.155,"0.03 (−0.14,0.21)",0.700,"0.01 (−0.18,0.20)",0.908
Year 1???,"−0.35 (−0.53,−0.17)",<0.001,"−0.19 (−0.39,0.00)",0.046,"−0.22 (−0.42,−0.02)",0.030
