Unnamed: 0_level_0,HC,HC,SCD,SCD,aMCI,aMCI,Dementia,Dementia
DTI-FA,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM
(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs
Genu of corpus callosum',0.81,0.01,0.72,0.04,0.71,0.02,0.68,0.02
Body of corpus callosum',0.87,0.01,0.79,0.04,0.79,0.02,0.75,0.03
Splenium of corpus callosum',0.95,0.01,0.87,0.04,0.88,0.02,0.81,0.03
Anterior corona radiata L',0.67,0.01,0.60,0.01,0.58,0.02,0.60,0.02
Anterior corona radiata R',0.69,0.01,0.62,0.01,0.59,0.03,0.61,0.03
Superior corona radiata L',0.73,0.01,0.68,0.01,0.68,0.02,0.70,0.03
Superior corona radiata R',0.73,0.01,0.68,0.01,0.68,0.02,0.68,0.03
Cingulum (hippocampus) L',0.74,0.01,0.68,0.03,0.66,0.02,0.66,0.02
Cingulum (hippocampus) R',0.71,0.02,0.65,0.03,0.64,0.02,0.67,0.02
Fornix L',0.75,0.01,0.70,0.01,0.68,0.02,0.67,0.02
Fornix R',0.75,0.02,0.69,0.01,0.66,0.02,0.69,0.02
Superior longitudinal fasciculus L',0.77,0.02,0.69,0.03,0.67,0.02,0.69,0.02
Superior longitudinal fasciculus R',0.75,0.02,0.68,0.03,0.65,0.02,0.67,0.02
Superior fronto-occipital L',0.79,0.01,0.67,0.02,0.71,0.03,0.68,0.05
Superior fronto-occipital R',0.79,0.03,0.68,0.03,0.68,0.04,0.65,0.04
(B)P-VALUES OF DTI-FA ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-FA ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-FA ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-FA ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-FA ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-FA ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-FA ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-FA ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-FA ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS
DTI-FApvalue,HC vs. SCD,HC vs. aMCI,HC vs. Dementia,SCD vs. aMCI,SCD vs. Dementia,aMCI vs. Dementia,,
Genu of corpus callosum',0.01,0.02,0.00,0.96,0.31,0.42,,
Body of corpus callosum',0.01,0.04,0.00,0.99,0.30,0.39,,
Splenium of corpus callosum',0.01,0.07,0.00,0.87,0.08,0.12,,
Anterior corona radiata L',0.04,0.02,0.06,0.54,0.97,0.60,,
Anterior corona radiata R',0.02,0.02,0.03,0.57,0.84,0.73,,
Superior corona radiata L',0.13,0.24,0.40,0.97,0.62,0.70,,
Superior corona radiata R',0.17,0.23,0.28,0.91,0.91,0.84,,
Cingulum (hippocampus) L',0.05,0.03,0.03,0.53,0.63,0.87,,
Cingulum (hippocampus) R',0.04,0.07,0.26,0.82,0.51,0.45,,
Fornix L',0.13,0.07,0.02,0.54,0.29,0.75,,
Fornix R',0.07,0.03,0.10,0.42,0.96,0.50,,
Superior longitudinal fasciculus L',0.01,0.02,0.03,0.68,0.97,0.69,,
Superior longitudinal fasciculus R',0.02,0.01,0.03,0.54,0.91,0.65,,
Superior fronto-occipital L',0.00,0.04,0.00,0.41,0.98,0.48,,
Superior fronto-occipital R',0.00,0.01,0.00,0.91,0.33,0.48,,
