Unnamed: 0_level_0,All,Group A+,Group A−,p
Unnamed: 0_level_1,(n = 242),(n = 95),(n = 147),p
Age(y),76.69 ± 0.49,78.12 ± 7.18,75.77 ± 7.85,0.011
"Female, N (%)",111 (45.9),48 (50.5),63 (42.9),0.242
Education (y),16.40 ± 0.17,16.03 ± 2.63,16.63 ± 2.72,0.057
"Hypertension, N (%)",117 (48.3),47 (49.5),70 (47.6),0.778
"Hyperlipidemia, N (%)",85 (35.1),33 (34.7),52 (35.4),0.919
"Diabetes, N (%)",13 (5.4),5 (5.3),8 (5.4),0.952
"Smoking, N (%)",23 (9.5),9 (9.5),14 (9.5),0.990
"APOE ε4 carriers, N (%)",79 (32.6),49 (51.6),30 (20.4),< 0.001
Amyloid PET Centiloids,25.52 ± 2.71,69.32 ± 34.50,−2.78 ± 10.11,< 0.001
Tau PET SUVR???,1.22 ± 0.01,1.26 ± 0.20,1.19 ± 0.11,0.186
Cognitive assessments,Cognitive assessments,Cognitive assessments,Cognitive assessments,Cognitive assessments
MMSE,28.53 ± 0.10,28.33 ± 1.59,28.66 ± 1.38,0.142
MoCA,24.64 ± 0.21,23.97 ± 3.20,25.07 ± 3.25,0.003
CDR global,0.23 ± 0.02,0.30 ± 0.25,0.19 ± 0.24,0.001
Logical Memory‐Delayed Recall,12.90 ± 0.42,12.03 ± 5.43,13.49 ± 4.71,0.178
TMT‐A,34.90 ± 0.75,37.06 ± 11.52,33.50 ± 11.41,0.008
TMT‐B,95.39 ± 3.64,106.15 ± 65.93,88.39 ± 48.47,0.039
Glymphatic markers,Glymphatic markers,Glymphatic markers,Glymphatic markers,Glymphatic markers
Basal ganglia PVS,3 (3–3),3 (3–3),3 (3–3),0.735
White matter PVS,4 (3–4),4 (3–4),4 (3–4),0.906
FW,0.235 ± 0.003,0.242 ± 0.052,0.231 ± 0.041,0.107
DTI‐ALPS???,1.290 ± 0.014,1.289 ± 0.212,1.290 ± 0.224,0.772
