Unnamed: 0_level_0,"SRC athletes, n = 22","SRC athletes, n = 22","Controls, n = 17","Controls, n = 17",n (%) of SRC athletes deviating from norms,p value SRC athletes vs. controls
Unnamed: 0_level_1,"Z-score, median (IQR)","Raw score, median (IQR)","Z-score, median (IQR)","Raw score, median (IQR)",n (%) of SRC athletes deviating from norms,p value SRC athletes vs. controls
Psychometric tests,,,,,,
RBANS,,,,,,
Immediate memory,-1.24 (-2.08 – -0.17),79.0 (65.0 – 97.0),0.13 (-0.92 – 0.84),102 (84.5 – 114),8 (36),
List learning,-1.23 (-2.45 – 0.05),27.5 (23.0 – 32.5),0.18 (-0.46 – 0.44),33.0 (30.5 – 34.0),9 (41,
Story memory,-0.81 (-1.74 – 0.11),17.5 (15.0 – 20.0),-0.26 (-0.63 – 0.85),19.0 (18.0 – 22.0),6 (27),
Visuospatial functions,-0.29 (-1.17 – 0.29),96.0 (83.0 – 105),0.12 (-0.29 – 0.46),102 (96.0 – 107),3 (14),
Figure copy,0.41 (-0.42 – 0.42),20.0 (19.0 – 20.0),0.42 (-0.02 – 0.42),20.0 (19.5 – 20.0),1 (5),
Line orientation,-0.06 (-1.03 – 0.78),18.5 (17.0 – 20.0),0.39 (-0.17 – 0.94),19 .0 (18.0 – 20.0),3 (14),
Verbal functions,-1.10 (-1.58 – -0.34),83.5 (68.5 – 98.0),0.32 (-0.34 – 1.01),105 (95.0 – 116),5 (23),
Picture naming,0.40 (0.40 – 0.40),10.0 (10.0 – 10.0),0.40 (0.40 – 0.40),10.0 (10.0 – 10.0),2 (9),
Semantic fluency,-1.11 (-1.49 – -0.45),16.5 (14.5 – 20.0),0.30 (-0.45 – 0.77),24.0 (20.0 – 26.5),5 (23),
Attention functions,-1.06 (-2.03 – -0.12),83.5 (68.5 – 98.0),-0.06 (-0.64 – 0.52),99.0 (90.0 – 108),8 (36),
Digit span,-0.41 (-1.09 – 0.50),9.50 (8.00 – 11.5),-0.18 (-0.86 – 0.73),10.0 (8.50 – 12.0),3 (14),
Coding,-0.78 (-1.84 – -0.19),46.0 (37.5 – 53.0),-0.09 (-0.40 – 0.45),54.0 (51.0 – 59.0),6 (27),
Delayed memory,-0.50 (-1.02 – -0.25),92.0 (84.0 – 96.0),0.26 (-0.22 – 1.15),104 (96.5 – 118),4 (18),
List recall,-0.55 (-1.97 – -0.06),7 (4.75 – 8.00),0.53 (-0.65 – 0.82),9.00 (7.00 – 9.50),6 (27),
List recognition,0.36 (-0.88 – 0.38),20 (19.0 – 20.0),0.38 (0.38 – 0.38),20.0 (20.0 – 20.0),4 (18),
Story recall,0.19 (-1.38 – 0.50),10.5 (8.00 – 11.0),0.50 (-0.13 – 0.13),11.0 (10.0 – 12.0),4 (18),
Figure recall,0.00 (-1.07 – 0.36),17 (14.0 – 18.0),0.36 (0.00 – 0.71),18.0 (17.0 – 19.0),0 (0),
Global score,-1.29 (-2.28 – -0.20),79.5 (64.5 – 96.0),1.19 (-0.17 – 0.85),102 (96.5 – 112),9 (41),<0.001
d2,-0.25 (-0.60 – 0.70),369 (338 – 436),1.25 (0.65 – 2.10),475 (432 – 535),4 (18),<0.001
SDMT,-0.79 (-1.71 – -0.29),47 (42 – 54),0.20 (-0.14 – 0.44),57.5 (54.0 – 61.0),7 (32),<0.001
WAIS-IV digit span,-0.39 -0.75 – 0.50),24 (22 – 27.5),0.32 (-0.39 – 0.59),25.0 (22.5 – 29.0),0 (0),0.639
Self-report measures,,,,,-from cut-off,
HADS-A,-,9.0 (6.0-12.0),-,3.0 (2.0 – 4.0),13 (59),<0.001
HADS-D,-,6.0 (4.75 – 8.50),-,1.0 (0.5 – 1.0),5 (23),<0.001
MFS,-,21.0 (17.0 – 25.0),-,4.5 (1.25-5.75),21 (95),<0.001
LiSat-11,-,42.0 (38.0 – 48.5),-,56.0 (51.0 – 61.0),18 (82),<0.001
BRIEF-A,,,,,-from norms,
Metacognition index,1.22 (0.60 – 1.59),74.0 (68.5 – 82.0),-0.52 (-0.86 – -0.05),54.0 (49.5 – 59.5),6 (27),
Behavior regulation index,1.20 (0.72 – 1.61),56.5 (50.5 – 60.5),-0.59 (-1.06 – -0.08),37.0 (32.5 – 42.5),6 (27),
Global executive composite,0.98 (0.65 – 1.77),129 (120 – 141),-0.61 (-0.93 – -0.30),89.0 (84.5 – 100),9 (41),<0.001
