Region,TOI analysis,TOI analysis,TOI analysis,TOI analysis,TOI analysis,TOI analysis,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0
Unnamed: 0_level_1,Dra (mean ± SD),Dra (mean ± SD),Dra (mean ± SD),P-values,P-values,P-values,Voxel-wise analysis,Voxel-wise analysis,Voxel-wise analysis
Unnamed: 0_level_2,CN,FTD,AD,FTD>CN,AD>CN,FTD>AD???,FTD>CN,AD>CN,FTD>AD???
a.CC,0.70 ± 0.09,0.93 ± 0.21,0.77 ± 0.10,0.0002,0.03,0.01,S,S,S
p.CC,0.57 ± 0.06,0.64 ± 0.10,0.65 ± 0.09,0.01,0.004,NS,S,S,NS
L.a.Cg,0.55 ± 0.05,0.67 ± 0.07,0.61 ± 0.07,<0.0001,0.004,0.02,S,S,S
R.a.Cg,0.61 ± 0.04,0.70 ± 0.06,0.65± 0.08,<0.0001,NS,0.03,S,S,S
L.p.Cg,0.55 ± 0.05,0.59 ± 0.05,0.60 ± 0.05,0.008,0.002,NS,S,S,NS
R.p.Cg,0.56 ± 0.04,0.61 ± 0.05,0.60 ± 0.05,0.01,0.003,NS,S,S,NS
L.d.Cg,0.66 ± 0.06,0.81 ± 0.15,0.81 ± 0.12,0.001,<0.0001,NS,S,S,S
R.d.Cg,0.62 ± 0.06,0.74 ± 0.14,0.78 ± 0.16,0.003,0.0003,NS,S,S,NS
L.Unc,0.69 ± 0.04,0.84 ± 0.12,0.77 ± 0.07,<0.0001,<0.0001,0.01,S,S,S
R.Unc,0.68 ± 0.06,0.89 ± 0.21,0.75 ± 0.09,<0.0001,0.01,0.002,S,S,S
L.CST,0.61 ±0.05,0.63 ± 0.07,0.60 ± 0.07,NS,NS,NS,NS,NS,NS
R.CST,0.49 ± 0.03,0.54 ± 0.09,0.49 ± 0.04,0.01,NS,0.02,S,NS,S
