Region,TOI analysis,TOI analysis,TOI analysis,TOI analysis,TOI analysis,TOI analysis,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0
Unnamed: 0_level_1,Dax (mean ± SD),Dax (mean ± SD),Dax (mean ± SD),P-values,P-values,P-values,Voxel-wise analysis,Voxel-wise analysis,Voxel-wise analysis
Unnamed: 0_level_2,CN,FTD,AD,FTD>CN,AD>CN,FTD>AD???,FTD>CN,AD>CN,FTD>AD???
a.CC,1.87 ± 0.12,2.09 ± 0.18,1.97 ± 0.09,<0.0001,0.007,0.02,S,S,S
p.CC,1.85 ± 0.10,1.91 ± 0.10,1.93 ± 0.10,0.04,0.02,NS,NS,S,NS
L.a.Cg,1.44 ± 0.07,1.45 ± 0.08,1.43 ± 0.07,NS,NS,NS,S,NS,NS
R.a.Cg,1.28 ± 0.05,1.34 ± 0.09,1.31 ± 0.06,0.03,NS,NS,S,NS,NS
L.p.Cg,1.31 ± 0.06,1.33 ± 0.06,1.32 ± 0.08,NS,NS,NS,NS,NS,NS
R.p.Cg,1.22 ± 0.04,1.24 ± 0.06,1.24 ± 0.07,NS,NS,NS,NS,NS,NS
L.d.Cg,1.25 ± 0.07,1.37 ± 0.16,1.37 ± 0.13,0.008,0.001,NS,S,S,NS
R.d.Cg,1.21 ± 0.07,1.31 ± 0.17,1.34 ± 0.18,0.04,0.004,NS,S,S,NS
L.Unc,1.31 ± 0.08,1.43 ± 0.13,1.38 ± 0.08,0.001,0.02,NS,S,S,NS
R.Unc,1.29 ± 0.06,1.51 ± 0.19,1.34 ± 0.06,<0.0001,0.03,0.0002,S,S,NS
L.CST,1.43 ± 0.06,1.48 ± 0.08,1.45 ± 0.07,NS,NS,NS,S,NS,NS
R.CST,1.35 ± 0.05,1.39 ± 0.06,1.36 ± 0.04,NS,NS,NS,S,NS,NS
