Metrics,Average white matter atlas,Average white matter atlas,Average white matter atlas,Average white matter atlas,Average thalamus,Average thalamus,Average thalamus,Average thalamus
Metrics,SIVD,AD,NC,ANCOVA,SIVD,AD,NC,ANCOVA
Metrics,(N = 42),(N = 50),(N = 30),P,(N = 42),(N = 50),(N = 30),P
MK,.88 ± .071,.99 ± .606,1.05 ± .083,.004b,.81 ± .063,.89 ± .074,.92 ± .048,.031b
Kaxial,.44 ± .030,.45 ± .025,.46 ± .021,.112,.45 ± .044,.44 ± .043,.45 ± .023,.014a
Kradial,1.16 ± .123,1.33 ± .098,1.41 ± .127,.019b,.97 ± .087,1.0 ± .088,1.1 ± .068,.037b
KFA,.35 ± .063,.38 ± .046,.39 ± .034,.866,.28 ± .087,.32 ± .069,.32 ± .038,.796
MD,1.20 ± .110,1.10 ± .068,1.03 ± .069,.102,1.32 ± .256,1.18 ± .207,.98 ± .093,.010c
Daxial,1.60 ± .093,1.52 ± .066,1.46 ± .061,.117,1.65 ± .281,1.53 ± .233,1.29 ± .100,.003c
Dradial,1.00 ± .123,.90 ± .072,.82 ± .075,.123,1.15 ± .245,1.01 ± .198,.823 ± .092,.019c
FA,.31 ± .039,.35 ± .024,.37 ± .030,.182,.27 ± .035,.30 ± .035,.30 ± .024,.047a
