Unnamed: 0_level_0,Total (n = 90),Non-CAA,Non-CAA,Probable-CAA??? (n = 43),p
Unnamed: 0_level_1,Unnamed: 1_level_1,non-cSVD??? (n = 30),cSVD??? (n = 17),Unnamed: 4_level_1,Unnamed: 5_level_1
Demographics,Demographics,Demographics,Demographics,Demographics,Demographics
"Age (years), mean (SD)",73.5 (7.0),69.7 (7.4),77.7 (5.4),74.4 (5.9),b > a??? c > a???
"Female, n (%)",45 (50),16 (53.3),8 (47.1),21 (48.8),0.898
"Education (years), median [IQR]",16 [14–18],16 [14–18],16 [14–17],17 [16–19],0.064
Vascular risk factors,Vascular risk factors,Vascular risk factors,Vascular risk factors,Vascular risk factors,Vascular risk factors
"Hypertension, n (%)???",55 (65.5),18 (72.0),11 (68.8),26 (60.5),0.599
"Diabetes, n (%)???",11 (13.1),2 (8.0),5 (31.2),4 (9.3),0.071
"Atrial fibrillation, n (%)???",4 (4.8),1 (4.0),1 (6.2),2 (4.7),1.000
"Dyslipidemia, n (%)???",68 (81.0),19 (76.0),13 (81.2),36 (83.7),0.761
Cognitive scores (z-scores),Cognitive scores (z-scores),Cognitive scores (z-scores),Cognitive scores (z-scores),Cognitive scores (z-scores),Cognitive scores (z-scores)
"MMSE, mean (SD)",−0.11 (1.43),−0.18 (1.53),0.51 (1.29),−0.30 (1.38),0.132
"Memory, mean (SD)",−0.38 (1.25),−0.14 (1.29),−0.04 (1.19),−0.67 (1.2),0.092
"Processing speed, mean (SD)",−0.07 (0.53),−0.04 (0.50),−0.08 (0.54),−0.09 (0.55),0.921
"Language, mean (SD)",−0.34 (1.02),−0.21 (0.81),−0.27 (1.35),−0.46 (1.02),0.570
"Executive function, median [IQR]","−0.26 [−0.8, 0.1]","−0.23 [−0.6, 0.2]","−0.07 [−0.6, 0.1]","−0.37 [−1.0, 0.1]",0.413
"Gap MRIxNPT, months, median [IQR]","0 [−2.3, 0]","−1.05 [−3.4, 0]","−1.33 [−2.8, 0.2]","0 [−1.6, 0]",0.034???
Conventional MRI markers,Conventional MRI markers,Conventional MRI markers,Conventional MRI markers,Conventional MRI markers,Conventional MRI markers
"Lobar CMB count, median [IQR]","0 [0, 13.5]","0 [0, 0]","0 [0, 0]","15 [3, 55]",c > a??? c > b???
"cSS (presence), n (%)",14 (15.6),0 (0),0 (0),14 (32.6),c > a??? c > b???
"Lacunes count, median [IQR]","0 [0, 1]","0 [0, 0]","1 [0, 1.5]","0 [0, 1]",b > a??? c > a???
"Cortical CMI, count, median [IQR]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]",0.049???
"CSO PVS score, median [IQR]","2 [2, 3]","2 [1, 2]","2 [2, 2]","3 [2, 4]",c > a??? c > b???
"BG PVS score, median [IQR]","2 [1, 2]","1 [1, 2]","2 [2, 3]","2 [1, 3]",b > a??? c > a???
"nWMHV (% ICV), median [IQR]","0.2 [0.05, 0.8]","0.05 [0.01, 0.1]","0.66 [0.3, 1.2]","0.36 [0.14, 1.8]",b > a??? c > a???
"nTBV (% ICV), mean (SD)",64.75 (4.26),67.06 (4.46),64.77 (3.26),63.13 (3.76),a > c???
DTI global markers,DTI global markers,DTI global markers,DTI global markers,DTI global markers,DTI global markers
"PSMD (×10–4 mm2/s), median [IQR]","3.76 [3.32, 4.37]","3.30 [3.13, 3.60]","4.07 [3.51, 4.62]","4.06 [3.58, 4.79]",b > a??? c > a???
"Average MD (×10–4 mm2/s), median [IQR]","8.44[7.86, 9.2]","7.98 [7.49, 8.61]","8.06 [7.75, 8.30]","9.19 [8.45, 9.83]",c > a??? c > b???
"Average FA, mean (SD)",0.46 (0.04),0.49 (0.04),0.48 (0.03),0.44 (0.04),a > c??? b > c???
"Total motion index, median [IQR]","−0.07 [−0.96, 1.26]","0.24[−1.07, 1.3]","0.21 [−0.66, 1.9]","−0.25 [−0.94, 0.6]",0.426
DTI regional assessment,DTI regional assessment,DTI regional assessment,DTI regional assessment,DTI regional assessment,DTI regional assessment
"Frontal PSMD (×10–4 mm2/s), median [IQR]","3.14 [2.77, 3.50]","2.81 [2.52, 3.17]","3.26 [3.00, 3.89]","3.20 [3.03, 3.94]",b > a??? c > a???
"Occipital PSMD (×10–4 mm2/s), median [IQR]","3.77 [3.23, 4.50]","3.23 [2.82, 3.70]","3.76 [3.53, 4.06]","4.44 [3.68, 5.00]",b > a??? c > a???
"Occipital-frontal PSMD gradient (×10–4 mm2/s), mean (SD)",0.76 (1.08),0.43 (0.54),0.45 (1.19),1.11 (1.22),c > a??? c > b???
"Frontal average MD (×10–4 mm2/s), median [IQR]","8.17 [7.74, 9.00]","7.84 [7.25, 8.38]","7.90 [7.60, 8.14]","8.98 [8.15, 9.55]",c > a??? c > b???
"Occipital average MD (×10–4 mm2/s), median [IQR]","8.53 [8.14, 9.53]","8.27 [7.80, 8.51]","8.13 [7.78, 8.49]","9.35 [8.67, 9.81]",c > a??? c > b???
"Occipital-frontal Average MD gradient (×10–4 mm2/s), mean (SD)",0.39 (0.45),0.46 (0.27),0.23 (0.40),0.41 (0.55),0.250
"Frontal average FA, mean (SD)",0.42 (0.04),0.45 (0.04),0.43 (0.03),0.40 (0.04),a > c??? b > c???
"Occipital average FA, mean (SD)",0.44 (0.05),0.47 (0.04),0.45 (0.03),0.41 (0.04),a > c??? b > c???
"Occipital-frontal average FA gradient, median [IQR]","0.02 [0.01, 0.03]","0.03 [0.02, 0.03]","0.03 [0.00, 0.04]","0.02 [0.01, 0.03]",0.130
