White matter regions,Baseline,Baseline,Year one,Year one
White matter regions,AD < HCFA,AD > HCMD,AD < HCFA,AD > HCMD
Corpus callosum,4378(57.9%),5076(67.2%),6306(83.0%),6327(83.3%)
Internal capsule,555(11.6%),1264(26.3%),1675(34.8%),1468(30.5%)
External capsule,845(27.2%),927(29.9%),1800(58.1%),1327(42.8%)
Corona radiata,2981(39.9%),5678(76.0%),3566(48.1%),6424(86.6%)
Posterior thalamic radiation,1233(55.1%),1092(48.8%),1496(66.4%),1096(48.7%)
Longitudinal fasciculi,909(28.9%),1826(58.1%),1535(48.7%),2135(67.7%)
Fronto-occipital fasciculi,0(0.0%),2(20.0%),0(0.0%),4(40.0%)
Cingulum (white matter of cingulate gyri),597(61.0%),423(43.2%),856(90.4%),535(56.5%)
Hippocampal cingulum,351(90.5%),0(0.0%),142(35.3%),168(41.8%)
Fornix,339(49.1%),297(43.0%),581(85.7%),356(52.5%)
Corticospinal tract,0(0.0%),0(0.0%),70(11.4%),0(0.0%)
Uncinate fasciculus,70(58.3%),43(35.8%),94(77.7%),69(57.0%)
Tapetum,38(95.0%),39(97.5%),36(97.3%),37(100.0%)
Medial lemniscus,0(0.0%),0(0.0%),251(64.5%),0(0.0%)
Cerebellar peduncle,0(0.0%),0(0.0%),1662(47.1%),0(0.0%)
Cerebral peduncle,0(0.0%),9(0.7%),751(56.9%),3(0.2%)
